SGB_ID,T1900044948_TA20190001,T1900044949_TA20190002,T1900044950_TA20190003,T1900044951_TA20190004,T1900044952_TA20190005,T1900044953_TA20190006,T1900044954_TA20190008,T1900044955_TA20190009,T1900044956_TA20190011,T1900044957_TA20190013,T1900044958_TA20190014,T1900044959_TA20190016,T1900044960_TA20190018,T1900044961_TA20190021,T1900044962_TA20190024,T1900044965_TA20190027,T1900044966_TA20190028,T1900044967_TA20190029,T1900044968_TA20190030,T1900044969_TA20190031,T1900044977_TA20190039,T1900044978_TA20190040,T1900044979_TA20190041,T1900044980_TA20190042,T1900044981_TA20190043,T1900044985_TA20190047,T1900044986_TA20190048,T1900044987_TA20190049,T1900044988_TA20190050,T1900044989_TA20190051,T1900044990_TA20190052,T1900044991_TA20190053,T1900044992_TA20190054,T1900044993_TA20190055,T1900044994_TA20190056,T1900044995_TA20190057,T1900044996_TA20190058,T1900044997_TA20190059,T1900044998_TA20190060,T1900044999_TA20190061,T1900045000_TA20190062,T1900045001_TA20190063,T1900045002_TA20190064,T1900045003_TA20190065,T1900045004_TA20190066,T1900045005_TA20190067,T1900045006_TA20190068,T1900045007_TA20190069
T1900044757_TS20190223_bin.252,0.003990982737721634,0,0,0,0,0,0,0,0,0,0,0.004477853266233774,0.004752684780137189,0.004046493862719278,0,0,0,0,0,0.003571684749885568,0,0,0,0,0,0,0.0035874057644233073,0,0.004806939288329317,0.0032814670807845936,0.003734998262253782,0.003338072093269596,0.0053185900072995574,0.004605510658386319,0.004847195424038665,0.0033926415140552693,0.004165762118920614,0,0,0,0.004222947703570047,0.004461725382876148,0.00411987359976514,0,0.003616762823256352,0.0035897398390909345,0,0.003959516146191616
T1900044769_TS20190235_bin.83,0.004120177288557027,0.004291878857381206,0,0.0032975907079208183,0.0030175241749020873,0,0,0.0036620470529388576,0.0030576312523751363,0,0.003319240638054808,0.004456604642903826,0.00415210862936356,0.0037122624279646308,0,0,0,0,0,0,0,0,0,0,0,0.004771730548596699,0.0031259736452298233,0.003953778139345909,0.0033481199528975834,0,0.0041336402363623655,0,0.003561924359120256,0,0,0.003037918787388485,0.004165659248210001,0.003899088117193811,0,0.004919518461505154,0.0034942340855748668,0,0.003893724687405789,0,0.0028932346409093015,0,0.0036804077289793228,0
T1900044834_TS20190300_bin.22,0.005624133791554998,0,0,0,0,0,0.003460633627671632,0.006245017573429551,0,0,0,0,0.0035119153853932746,0.005716093479911794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032315510551515067,0,0.003902303862458586,0,0,0.00304661142051622,0,0,0.003453911894841358,0,0,0,0,0,0
T1900044843_TS20190309_bin.182,0.013764816581777486,0,0,0,0,0,0,0,0,0,0,0,0,0.013646133892449827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1900044849_TS20190315_bin.250,0.003855670778077405,0.006522793133769564,0,0.007690993577373365,0,0,0,0.008975186023424338,0,0,0.006676400803814933,0.0039492823828691515,0.004067276482857725,0.0038138728192657987,0,0,0.0064386838314289575,0,0,0.006650611855449318,0,0.0037269852539943736,0.006714979619546968,0.005070222339408119,0.004560932455753333,0.005632019387208868,0,0.004221528270132242,0,0,0.003699364844611622,0,0.003505182345486136,0.003462015502035631,0,0,0.005058900300633202,0.003235840512609663,0,0.005276399298164828,0.003213351144752755,0,0.00493633042413193,0,0,0,0.003878624162157424,0.003327985807514036
T1900044859_TS20190325_bin.88,0.013358476555665428,0.008346247955078918,0.012032174116736875,0,0,0.00975791909204006,0,0.008424182802318382,0,0,0,0.020720816150990733,0.02033421680098982,0.012512937548546151,0.007452450318304849,0.01168728764712189,0.010114384345437398,0.007620505863943056,0.01124921886920342,0.0085613179928943,0,0.008865204361745668,0,0.008492815582947167,0,0.011451993430191815,0.008894636079790571,0.009277663184164337,0.01390370483863066,0.009980253583300994,0.01459608735674631,0.012957937090063279,0.013442748508941775,0.014536832566485044,0.013482893251006482,0.010238174176287682,0.013701497443408702,0.011746441942970512,0.008693817058840687,0.01265059572825651,0.013152261290645943,0.011389698285033289,0.011382228953335004,0.009128596970258595,0.009902371426938698,0.009686969315485188,0.01251676747579582,0.013804470934163593
T1900044897_TS20190363_bin.134,0.005267145589176674,0.008075269103390587,0,0,0.004509915378487371,0,0.004684780270816286,0.006232222644017754,0.004397410916061903,0.00457584293386078,0.00931329983772153,0.008499395785070633,0.008268177690984507,0.004588794195525939,0,0,0,0,0,0.004775716025852857,0,0,0,0,0,0.006334695547266863,0.004617204669656535,0.004998377467481052,0.005042316055307165,0,0.004719615959438222,0,0.004808122903043381,0,0,0,0.005652751055153833,0.004786953173645884,0.004504725364852254,0.005775617816752868,0.005115868845331252,0,0,0,0,0.004620570621087064,0.004976393325657234,0
T1900044948_TA20190001_bin.105,0.1829079962326532,0.023670803726653342,0.04562172452142062,0.06086783506596622,0.0122683123036958,0.04450449322949892,0.013325490128165954,0.024970660536949373,0.013192555553128748,0.01057505367216097,0.02996469842790715,0.07279431604764387,0.07334725614447629,0.16184129026552788,0,0,0,0,0,0,0,0,0.007440891291188317,0,0,0.014805198791211253,0,0,0,0,0,0,0,0,0,0,0.016028656510199853,0,0,0.016042240105443993,0,0,0.017438822772294773,0,0,0,0,0
T1900044948_TA20190001_bin.108,0.20655944520224798,0,0.0228489636317614,0,0.010698471483607488,0.021170334636347807,0.014449703736034571,0,0.009866623781606895,0.008898047517216378,0.011307982565014581,0,0,0.1360213249203581,0,0,0,0,0.006435614313199278,0,0,0.008567731250872148,0,0,0,0,0.003982708211553608,0,0,0.0037969149027418624,0,0.003911557121525925,0.003819032303975274,0,0,0.005105055932686349,0,0.004066771581233002,0.005056843417854388,0,0,0.005654424197977079,0,0.004512736403279257,0.005150749217455722,0.005629235518249627,0,0.004023242517236019
T1900044948_TA20190001_bin.110,0.2687225874828088,0.04475971344095209,0.012723755746077222,0.01337809215042324,0,0.012937889245779984,0,0.054968148840236306,0,0,0.018684505022929884,0.20313401900478792,0.22810037496553645,0.24277797424655645,0,0,0,0,0.007316020508632075,0,0,0,0,0.004835215390721096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
