"","Sample_ID","PCoA1","PCoA2","Host"
"617","T1900045241_TH20190011",0.0314909682182345,0.387822551327147,"TH"
"618","T1900045242_TH20190012",0.0298474217613267,0.351911176607873,"TH"
"619","T1900045243_TH20190013",0.028514226694806,0.333637481231194,"TH"
"620","T1900045244_TH20190014",0.0262933070939455,0.300153808585706,"TH"
"621","T1900045245_TH20190015",0.0290811972312209,0.363066429420413,"TH"
"622","T1900045246_TH20190016",0.0309024712277327,0.371515092644891,"TH"
"623","T1900045247_TH20190017",0.0311988973918109,0.380654031611148,"TH"
"624","T1900045248_TH20190018",0.0307632921775749,0.372278365280294,"TH"
"625","T1900045249_TH20190019",0.0315485844668287,0.386379057182292,"TH"
"626","T1900045250_TH20190020",0.030719212916292,0.370521946382688,"TH"
"627","T1900045252_TH20190022",0.0313949047846198,0.403752995844155,"TH"
"628","T1900045253_TH20190023",0.0313654550945249,0.393516158933424,"TH"
"629","T1900045254_TH20190024",0.0318670383932723,0.405428332464253,"TH"
"630","T1900045255_TH20190025",0.0318631604110872,0.40199046913956,"TH"
"631","T1900045256_TH20190026",0.0307467789416394,0.382132006782873,"TH"
"632","T1900045257_TH20190027",0.0309251977799385,0.372324697735449,"TH"
"633","T1900045258_TH20190028",0.0310925252060642,0.389609199714554,"TH"
"634","T1900045259_TH20190029",0.031355063139008,0.389464718643402,"TH"
"635","T1900045260_TH20190030",0.0307608900543554,0.383149464230182,"TH"
"636","T1900045261_TH20190031",0.030743955662342,0.386577889317416,"TH"
"637","T1900045262_TH20190032",0.0309916316852497,0.371809036821763,"TH"
"638","T1900045263_TH20190033",0.0280737020396081,0.318130756673109,"TH"
"639","T1900045264_TH20190034",0.0310474221838937,0.390437906350078,"TH"
"640","T1900045265_TH20190035",0.0311596531275086,0.387713223168595,"TH"
"641","T1900045266_TH20190036",0.0314912758040853,0.39959150349936,"TH"
"642","T1900045267_TH20190037",0.0306897046251929,0.36742320159207,"TH"
"643","T1900045268_TH20190038",0.0300732701802065,0.356873855550316,"TH"
"644","T1900045269_TH20190039",0.0315583461118532,0.39389673350707,"TH"
"645","T1900045270_TH20190040",0.0310591641809036,0.385559504541679,"TH"
"646","T1900045271_TH20190041",0.0309243904241,0.385126209557678,"TH"
"647","T1900045272_TH20190042",0.0311175887730265,0.383819328429024,"TH"
"648","T1900045273_TH20190043",0.0318198311611815,0.404353915536356,"TH"
"649","T1900045274_TH20190044",0.0311419603491341,0.388436402842419,"TH"
"650","T1900045275_TH20190045",0.0313372750522875,0.391687008515845,"TH"
"651","T1900045276_TH20190046",0.0316972269687578,0.40380724357238,"TH"
"652","T1900045277_TH20190047",0.0319124432907787,0.404866373677508,"TH"
"653","T1900045278_TH20190048",0.029030593042241,0.346015028574561,"TH"
"654","T1900045279_TH20190049",0.031850786683055,0.40423812800646,"TH"
"655","T1900045280_TH20190050",0.0304670982182909,0.37577139407009,"TH"
"656","T1900045281_TH20190051",0.0320351416071519,0.407141075204403,"TH"
"657","T1900045282_TH20190052",0.0317158186835157,0.402881024999113,"TH"
"658","T1900045283_TH20190053",0.0315595236968505,0.400568405770528,"TH"
"659","T1900045284_TH20190054",0.0321237443006848,0.407668576497489,"TH"
"660","T1900045285_TH20190055",0.0308237351963614,0.388525434555549,"TH"
"661","T1900045286_TH20190056",0.0315892534109833,0.403559821764562,"TH"
"662","T1900045287_TH20190057",0.0311598086794009,0.393318139512472,"TH"
"663","T1900045288_TH20190058",0.0315340977030803,0.40558830348665,"TH"
"664","T1900045289_TH20190059",0.0319746998337882,0.410656322973264,"TH"
"665","T1900045290_TH20190060",0.0314328762935729,0.401682709497146,"TH"
"666","T1900045291_TH20190061",0.0314013791457037,0.398308600343122,"TH"
"667","T1900045292_TH20190062",0.0317502015870228,0.404199609001301,"TH"
"668","T1900045293_TH20190063",0.031425697393368,0.395584079091057,"TH"
"669","T1900045294_TH20190064",0.031708086756697,0.409963361885204,"TH"
"670","T1900045295_TH20190065",0.0306205412311274,0.382011104655887,"TH"
"671","T1900045296_TH20190066",0.0315314453532022,0.402546395825676,"TH"
"672","T1900045297_TH20190067",0.0310573890150499,0.389832465706597,"TH"
"673","T1900045298_TH20190068",0.0312166428593352,0.394055330326371,"TH"
"674","T1900045299_TH20190069",0.0303278708574314,0.368287447639176,"TH"
"675","T1900045300_TH20190070",0.0326530430712,0.418098063790345,"TH"
"676","T1900045301_TH20190071",0.0319866781599568,0.408580947956605,"TH"
"677","T1900045302_TH20190072",0.0324089236606952,0.419878876572211,"TH"
"678","T1900045303_TH20190073",0.0314850011513711,0.402536064766263,"TH"
"679","T1900045304_TH20190074",0.0316701273902056,0.403347485796486,"TH"
"680","T1900045305_TH20190075",0.0318949919731716,0.408061063193617,"TH"
"681","T1900045306_TH20190076",0.0318187676672629,0.410163891800412,"TH"
"682","T1900045307_TH20190077",0.0323940313095239,0.418088663530188,"TH"
"683","T1900045308_TH20190078",0.0316989055291497,0.403461083555445,"TH"
"684","T1900045309_TH20190079",0.0318559609767357,0.405114213717676,"TH"
"685","T1900045310_TH20190080",0.0295725739426149,0.367457093244529,"TH"
"686","T1900045311_TH20190081",0.0313538169461638,0.400229290637897,"TH"
"1086","T2001009369_TH82",0.0302817636404213,0.36764463071173,"TH"
