SGB_ID	Node	GTDB_phylum	GTDB_genus
SGB_6559	N4	p__Firmicutes_A	g__
SGB_14368	N4	p__Firmicutes_A	g__CAG-110
SGB_4413	N4	p__Firmicutes_A	g__UBA11524
SGB_13434	N4	p__Firmicutes_A	g__CAG-110
SGB_504	N4	p__Bacteroidota	g__
SGB_5384	N4	p__Firmicutes_A	g__1XD8-76
SGB_14113	N4	p__Firmicutes_A	g__CAG-110
SGB_833	N4	p__Bacteroidota	g__UBA1189
SGB_14479	N4	p__Firmicutes_A	g__CAG-110
SGB_2170	N4	p__Bacteroidota	g__RC9
SGB_7958	N4	p__Firmicutes_A	g__CAG-180
SGB_14233	N4	p__Firmicutes_A	g__CAG-110
SGB_16784	N4	p__Firmicutes_C	g__Phascolarctobacterium_A
SGB_16076	N4	p__Firmicutes_A	g__CAG-269
SGB_14660	N4	p__Firmicutes_A	g__CAG-110
SGB_16085	N4	p__Firmicutes_A	g__CAG-269
SGB_617	N4	p__Bacteroidota	g__Phocaeicola
SGB_16766	N4	p__Firmicutes_C	g__Phascolarctobacterium_A
SGB_10018	N4	p__Firmicutes_A	g__UBA4644
SGB_14707	N4	p__Firmicutes_A	g__CAG-110
SGB_1910	N4	p__Bacteroidota	g__Alistipes
SGB_609	N4	p__Bacteroidota	g__Phocaeicola
SGB_786	N4	p__Bacteroidota	g__UBA1189
SGB_13545	N4	p__Firmicutes_A	g__CAG-110
SGB_2360	N4	p__Bacteroidota	g__RC9
SGB_2596	N4	p__Bacteroidota	g__RC9
SGB_1630	N4	p__Bacteroidota	g__Alistipes
SGB_13171	N4	p__Firmicutes_A	g__
SGB_2693	N4	p__Bacteroidota	g__RC9
SGB_14643	N4	p__Firmicutes_A	g__CAG-110
SGB_14205	N4	p__Firmicutes_A	g__CAG-110
SGB_14162	N4	p__Firmicutes_A	g__CAG-110
SGB_1710	N4	p__Bacteroidota	g__Alistipes
SGB_827	N4	p__Bacteroidota	g__UBA1189
SGB_13839	N4	p__Firmicutes_A	g__CAG-110
SGB_13468	N4	p__Firmicutes_A	g__CAG-110
SGB_604	N4	p__Bacteroidota	g__Phocaeicola
SGB_4342	N4	p__Firmicutes_A	g__SFFH01
SGB_16783	N4	p__Firmicutes_C	g__Phascolarctobacterium_A
SGB_14329	N4	p__Firmicutes_A	g__CAG-110
SGB_14699	N4	p__Firmicutes_A	g__CAG-110
SGB_14210	N4	p__Firmicutes_A	g__CAG-110
SGB_569	N4	p__Bacteroidota	g__Phocaeicola
SGB_12105	N4	p__Firmicutes_A	g__UMGS1696
SGB_612	N4	p__Bacteroidota	g__Phocaeicola
SGB_1285	N4	p__Bacteroidota	g__RF16
SGB_5427	N4	p__Firmicutes_A	g__Acetatifactor
SGB_4239	N4	p__Firmicutes_A	g__
SGB_13587	N4	p__Firmicutes_A	g__CAG-110
SGB_14745	N4	p__Firmicutes_A	g__CAG-110
SGB_13512	N4	p__Firmicutes_A	g__CAG-110
SGB_13492	N4	p__Firmicutes_A	g__CAG-110
SGB_1771	N4	p__Bacteroidota	g__Alistipes
SGB_2695	N4	p__Bacteroidota	g__RC9
