SGB_ID	Node	GTDB_phylum	GTDB_genus
SGB_13567	N2	p__Firmicutes_A	g__CAG-110
SGB_14857	N2	p__Firmicutes_A	g__Oscillibacter
SGB_1906	N2	p__Bacteroidota	g__Alistipes
SGB_9353	N2	p__Firmicutes_A	g__UBA737
SGB_1893	N2	p__Bacteroidota	g__Alistipes
SGB_14689	N2	p__Firmicutes_A	g__CAG-110
SGB_2687	N2	p__Bacteroidota	g__RC9
SGB_5250	N2	p__Firmicutes_A	g__
SGB_14765	N2	p__Firmicutes_A	g__CAG-110
SGB_13609	N2	p__Firmicutes_A	g__CAG-110
SGB_14932	N2	p__Firmicutes_A	g__UBA1777
SGB_6555	N2	p__Firmicutes_A	g__
SGB_14578	N2	p__Firmicutes_A	g__CAG-110
SGB_15208	N2	p__Firmicutes_A	g__
SGB_14871	N2	p__Firmicutes_A	g__Oscillibacter
SGB_14649	N2	p__Firmicutes_A	g__CAG-110
SGB_626	N2	p__Bacteroidota	g__Phocaeicola
SGB_529	N2	p__Bacteroidota	g__
SGB_2655	N2	p__Bacteroidota	g__RC9
SGB_13576	N2	p__Firmicutes_A	g__CAG-110
SGB_13174	N2	p__Firmicutes_A	g__
SGB_14684	N2	p__Firmicutes_A	g__CAG-110
SGB_2645	N2	p__Bacteroidota	g__RC9
SGB_2686	N2	p__Bacteroidota	g__RC9
SGB_14500	N2	p__Firmicutes_A	g__CAG-110
SGB_6060	N2	p__Firmicutes_A	g__G11
SGB_5264	N2	p__Firmicutes_A	g__
SGB_14683	N2	p__Firmicutes_A	g__CAG-110
SGB_623	N2	p__Bacteroidota	g__Phocaeicola
SGB_1903	N2	p__Bacteroidota	g__Alistipes
SGB_14586	N2	p__Firmicutes_A	g__CAG-110
SGB_14611	N2	p__Firmicutes_A	g__CAG-110
SGB_2649	N2	p__Bacteroidota	g__RC9
SGB_14961	N2	p__Firmicutes_A	g__UBA9475
SGB_2664	N2	p__Bacteroidota	g__RC9
SGB_631	N2	p__Bacteroidota	g__Phocaeicola
SGB_525	N2	p__Bacteroidota	g__
SGB_12185	N2	p__Firmicutes_A	g__UMGS1696
SGB_2205	N2	p__Bacteroidota	g__RC9
SGB_4392	N2	p__Firmicutes_A	g__UBA11524
SGB_12076	N2	p__Firmicutes_A	g__UMGS1225
SGB_2715	N2	p__Bacteroidota	g__RC9
SGB_2371	N2	p__Bacteroidota	g__RC9
SGB_14838	N2	p__Firmicutes_A	g__Lawsonibacter
SGB_619	N2	p__Bacteroidota	g__Phocaeicola
SGB_832	N2	p__Bacteroidota	g__UBA1189
SGB_14693	N2	p__Firmicutes_A	g__CAG-110
SGB_10508	N2	p__Firmicutes_A	g__CAG-390
SGB_14232	N2	p__Firmicutes_A	g__CAG-110
SGB_12080	N2	p__Firmicutes_A	g__UMGS1696
SGB_9973	N2	p__Firmicutes_A	g__
SGB_520	N2	p__Bacteroidota	g__
SGB_4333	N2	p__Firmicutes_A	g__SFFH01
SGB_2697	N2	p__Bacteroidota	g__RC9
SGB_12209	N2	p__Firmicutes_A	g__UMGS1696
SGB_12217	N2	p__Firmicutes_A	g__UMGS1696
SGB_12170	N2	p__Firmicutes_A	g__UMGS1696
SGB_1867	N2	p__Bacteroidota	g__Alistipes
SGB_2240	N2	p__Bacteroidota	g__RC9
SGB_606	N2	p__Bacteroidota	g__Phocaeicola
SGB_2647	N2	p__Bacteroidota	g__RC9
SGB_1908	N2	p__Bacteroidota	g__Alistipes
SGB_2522	N2	p__Bacteroidota	g__RC9
SGB_2195	N2	p__Bacteroidota	g__RC9
SGB_1861	N2	p__Bacteroidota	g__Alistipes
SGB_1612	N2	p__Bacteroidota	g__Alistipes
SGB_559	N2	p__Bacteroidota	g__Phocaeicola
SGB_2652	N2	p__Bacteroidota	g__RC9
SGB_1621	N2	p__Bacteroidota	g__Alistipes
SGB_1897	N2	p__Bacteroidota	g__Alistipes
SGB_2677	N2	p__Bacteroidota	g__RC9
SGB_2218	N2	p__Bacteroidota	g__RC9
SGB_991	N2	p__Bacteroidota	g__F082
SGB_1590	N2	p__Bacteroidota	g__Alistipes
SGB_634	N2	p__Bacteroidota	g__Phocaeicola
SGB_1914	N2	p__Bacteroidota	g__Alistipes
SGB_985	N2	p__Bacteroidota	g__F082
SGB_15395	N2	p__Firmicutes_A	g__Ruminococcus
SGB_2646	N2	p__Bacteroidota	g__RC9
SGB_1613	N2	p__Bacteroidota	g__Alistipes
SGB_2692	N2	p__Bacteroidota	g__RC9
SGB_2775	N2	p__Bacteroidota	g__UBA1232
SGB_15400	N2	p__Firmicutes_A	g__Ruminococcus
SGB_2643	N2	p__Bacteroidota	g__RC9
SGB_570	N2	p__Bacteroidota	g__Phocaeicola
SGB_2197	N2	p__Bacteroidota	g__RC9
SGB_2187	N2	p__Bacteroidota	g__RC9
SGB_2180	N2	p__Bacteroidota	g__RC9
SGB_628	N2	p__Bacteroidota	g__Phocaeicola
SGB_789	N2	p__Bacteroidota	g__UBA1189
SGB_18717	N2	p__Spirochaetota	g__Treponema_F
SGB_1069	N2	p__Bacteroidota	g__F082
SGB_1920	N2	p__Bacteroidota	g__Alistipes
SGB_14854	N2	p__Firmicutes_A	g__Oscillibacter
SGB_1066	N2	p__Bacteroidota	g__F082
SGB_537	N2	p__Bacteroidota	g__
SGB_1062	N2	p__Bacteroidota	g__F082
SGB_539	N2	p__Bacteroidota	g__
SGB_1067	N2	p__Bacteroidota	g__F082
SGB_1863	N2	p__Bacteroidota	g__Alistipes
SGB_1064	N2	p__Bacteroidota	g__F082
SGB_615	N2	p__Bacteroidota	g__Phocaeicola
SGB_1579	N2	p__Bacteroidota	g__Alistipes
SGB_1866	N2	p__Bacteroidota	g__Alistipes
SGB_2172	N2	p__Bacteroidota	g__RC9
SGB_621	N2	p__Bacteroidota	g__Phocaeicola
SGB_572	N2	p__Bacteroidota	g__Phocaeicola
SGB_564	N2	p__Bacteroidota	g__Phocaeicola
SGB_2690	N2	p__Bacteroidota	g__RC9
SGB_10014	N2	p__Firmicutes_A	g__UBA4644
SGB_1872	N2	p__Bacteroidota	g__Alistipes
SGB_2650	N2	p__Bacteroidota	g__RC9
SGB_514	N2	p__Bacteroidota	g__
SGB_2644	N2	p__Bacteroidota	g__RC9
SGB_1063	N2	p__Bacteroidota	g__F082
SGB_2676	N2	p__Bacteroidota	g__RC9
SGB_5232	N2	p__Firmicutes_A	g__
SGB_10416	N2	p__Firmicutes_A	g__
SGB_1070	N2	p__Bacteroidota	g__F082
SGB_6556	N2	p__Firmicutes_A	g__
SGB_989	N2	p__Bacteroidota	g__F082
SGB_1619	N2	p__Bacteroidota	g__Alistipes
SGB_14845	N2	p__Firmicutes_A	g__Oscillibacter
SGB_1917	N2	p__Bacteroidota	g__Alistipes
SGB_5366	N2	p__Firmicutes_A	g__
SGB_2780	N2	p__Bacteroidota	g__UBA1232
SGB_14860	N2	p__Firmicutes_A	g__Oscillibacter
SGB_568	N2	p__Bacteroidota	g__Phocaeicola
SGB_14447	N2	p__Firmicutes_A	g__CAG-110
SGB_1060	N2	p__Bacteroidota	g__F082
SGB_839	N2	p__Bacteroidota	g__UBA1189
SGB_6211	N2	p__Firmicutes_A	g__SFDP01
SGB_2698	N2	p__Bacteroidota	g__RC9
SGB_1588	N2	p__Bacteroidota	g__Alistipes
SGB_1635	N2	p__Bacteroidota	g__Alistipes
SGB_2212	N2	p__Bacteroidota	g__RC9
SGB_2657	N2	p__Bacteroidota	g__RC9
SGB_19237	N2	p__Verrucomicrobiota	g__Akkermansia
SGB_2685	N2	p__Bacteroidota	g__RC9
SGB_15380	N2	p__Firmicutes_A	g__Ruminococcus
SGB_1894	N2	p__Bacteroidota	g__Alistipes
SGB_2777	N2	p__Bacteroidota	g__UBA1232
SGB_829	N2	p__Bacteroidota	g__UBA1189
SGB_1881	N2	p__Bacteroidota	g__Alistipes
SGB_605	N2	p__Bacteroidota	g__Phocaeicola
SGB_2642	N2	p__Bacteroidota	g__RC9
SGB_1079	N2	p__Bacteroidota	g__
SGB_526	N2	p__Bacteroidota	g__
SGB_19242	N2	p__Verrucomicrobiota	g__Akkermansia
SGB_2209	N2	p__Bacteroidota	g__RC9
SGB_1074	N2	p__Bacteroidota	g__F082
SGB_14358	N2	p__Firmicutes_A	g__CAG-110
SGB_13570	N2	p__Firmicutes_A	g__CAG-110
SGB_2203	N2	p__Bacteroidota	g__RC9
SGB_13730	N2	p__Firmicutes_A	g__CAG-110
SGB_13737	N2	p__Firmicutes_A	g__CAG-110
SGB_1937	N2	p__Bacteroidota	g__Alistipes
SGB_994	N2	p__Bacteroidota	g__F082
SGB_19129	N2	p__Verrucomicrobiota	g__Akkermansia
SGB_18716	N2	p__Spirochaetota	g__Treponema_F
SGB_14796	N2	p__Firmicutes_A	g__CAG-83
SGB_2688	N2	p__Bacteroidota	g__RC9
SGB_13476	N2	p__Firmicutes_A	g__CAG-110
SGB_14356	N2	p__Firmicutes_A	g__CAG-110
SGB_285	N2	p__Bacteroidota	g__
SGB_828	N2	p__Bacteroidota	g__UBA1189
SGB_4956	N2	p__Firmicutes_A	g__
SGB_4962	N2	p__Firmicutes_A	g__
SGB_1860	N2	p__Bacteroidota	g__Alistipes
SGB_8037	N2	p__Firmicutes_A	g__CAG-488
SGB_15367	N2	p__Firmicutes_A	g__Ruminococcus
SGB_3052	N2	p__Desulfobacterota	g__Desulfovibrio
SGB_2238	N2	p__Bacteroidota	g__RC9
SGB_13729	N2	p__Firmicutes_A	g__CAG-110
SGB_2683	N2	p__Bacteroidota	g__RC9
SGB_6207	N2	p__Firmicutes_A	g__SFDP01
SGB_4939	N2	p__Firmicutes_A	g__
SGB_2712	N2	p__Bacteroidota	g__RC9
SGB_16408	N2	p__Firmicutes_A	g__
SGB_13566	N2	p__Firmicutes_A	g__CAG-110
SGB_16968	N2	p__Firmicutes	g__Holdemania
SGB_576	N2	p__Bacteroidota	g__Phocaeicola
SGB_2668	N2	p__Bacteroidota	g__RC9
SGB_13355	N2	p__Firmicutes_A	g__
SGB_2681	N2	p__Bacteroidota	g__RC9
SGB_13310	N2	p__Firmicutes_A	g__
SGB_14635	N2	p__Firmicutes_A	g__CAG-110
SGB_1591	N2	p__Bacteroidota	g__Alistipes
SGB_12101	N2	p__Firmicutes_A	g__UMGS1696
SGB_15743	N2	p__Firmicutes_A	g__
SGB_535	N2	p__Bacteroidota	g__
SGB_2704	N2	p__Bacteroidota	g__RC9
SGB_15119	N2	p__Firmicutes_A	g__
SGB_19222	N2	p__Verrucomicrobiota	g__Akkermansia
SGB_2701	N2	p__Bacteroidota	g__RC9
SGB_2658	N2	p__Bacteroidota	g__RC9
SGB_998	N2	p__Bacteroidota	g__F082
SGB_3068	N2	p__Desulfobacterota	g__Mailhella
SGB_16621	N2	p__Firmicutes_A	g__UMGS1883
SGB_12089	N2	p__Firmicutes_A	g__UMGS1696
SGB_18936	N2	p__Verrucomicrobiota	g__
SGB_775	N2	p__Bacteroidota	g__UBA1189
SGB_19219	N2	p__Verrucomicrobiota	g__Akkermansia
SGB_9990	N2	p__Firmicutes_A	g__UBA4644
SGB_627	N2	p__Bacteroidota	g__Phocaeicola
SGB_13507	N2	p__Firmicutes_A	g__CAG-110
SGB_1134	N2	p__Bacteroidota	g__M3
SGB_13346	N2	p__Firmicutes_A	g__
SGB_13520	N2	p__Firmicutes_A	g__CAG-110
SGB_18728	N2	p__Spirochaetota	g__Treponema_F
SGB_459	N2	p__Bacteroidota	g__
SGB_5237	N2	p__Firmicutes_A	g__
SGB_5815	N2	p__Firmicutes_A	g__CAG-81
SGB_5307	N2	p__Firmicutes_A	g__
SGB_5262	N2	p__Firmicutes_A	g__
SGB_14487	N2	p__Firmicutes_A	g__CAG-110
SGB_13488	N2	p__Firmicutes_A	g__CAG-110
SGB_5313	N2	p__Firmicutes_A	g__
SGB_4936	N2	p__Firmicutes_A	g__
SGB_5507	N2	p__Firmicutes_A	g__Acetatifactor
SGB_15180	N2	p__Firmicutes_A	g__
SGB_13743	N2	p__Firmicutes_A	g__CAG-110
SGB_16131	N2	p__Firmicutes_A	g__UMGS1933
SGB_4379	N2	p__Firmicutes_A	g__UBA11524
SGB_15121	N2	p__Firmicutes_A	g__
SGB_12219	N2	p__Firmicutes_A	g__UMGS1696
SGB_16743	N2	p__Firmicutes_B	g__
SGB_12189	N2	p__Firmicutes_A	g__UMGS1696
SGB_2182	N2	p__Bacteroidota	g__RC9
SGB_5023	N2	p__Firmicutes_A	g__
SGB_18984	N2	p__Verrucomicrobiota	g__
SGB_14686	N2	p__Firmicutes_A	g__CAG-110
SGB_5003	N2	p__Firmicutes_A	g__
SGB_5255	N2	p__Firmicutes_A	g__
SGB_4332	N2	p__Firmicutes_A	g__SFFH01
SGB_2009	N2	p__Bacteroidota	g__UBA11471
SGB_13568	N2	p__Firmicutes_A	g__CAG-110
SGB_8093	N2	p__Firmicutes_A	g__DTU089_A
SGB_14395	N2	p__Firmicutes_A	g__CAG-110
SGB_6234	N2	p__Firmicutes_A	g__SFDP01
SGB_14408	N2	p__Firmicutes_A	g__CAG-110
SGB_13126	N2	p__Firmicutes_A	g__
SGB_4335	N2	p__Firmicutes_A	g__SFFH01
SGB_15703	N2	p__Firmicutes_A	g__
SGB_2705	N2	p__Bacteroidota	g__RC9
SGB_10010	N2	p__Firmicutes_A	g__UBA4644
SGB_9159	N2	p__Firmicutes_A	g__UBA737
SGB_5291	N2	p__Firmicutes_A	g__
SGB_16628	N2	p__Firmicutes_A	g__UMGS1883
SGB_19247	N2	p__Verrucomicrobiota	g__Akkermansia
SGB_5319	N2	p__Firmicutes_A	g__
SGB_302	N2	p__Bacteroidota	g__
SGB_1925	N2	p__Bacteroidota	g__Alistipes
SGB_10015	N2	p__Firmicutes_A	g__UBA4644
SGB_6327	N2	p__Firmicutes_A	g__UBA1712-A
SGB_16702	N2	p__Firmicutes_A	g__UMGS1883
SGB_1852	N2	p__Bacteroidota	g__Alistipes
SGB_13582	N2	p__Firmicutes_A	g__CAG-110
SGB_12074	N2	p__Firmicutes_A	g__UMGS1225
SGB_4393	N2	p__Firmicutes_A	g__UBA11524
SGB_14670	N2	p__Firmicutes_A	g__CAG-110
SGB_4268	N2	p__Firmicutes_A	g__Firm-11
SGB_4381	N2	p__Firmicutes_A	g__UBA11524
SGB_607	N2	p__Bacteroidota	g__Phocaeicola
SGB_10759	N2	p__Firmicutes_A	g__CAG-448
SGB_5337	N2	p__Firmicutes_A	g__
SGB_1922	N2	p__Bacteroidota	g__Alistipes
SGB_5876	N2	p__Firmicutes_A	g__Eisenbergiella
SGB_5300	N2	p__Firmicutes_A	g__
SGB_13525	N2	p__Firmicutes_A	g__CAG-110
SGB_508	N2	p__Bacteroidota	g__
SGB_5526	N2	p__Firmicutes_A	g__Acetatifactor
SGB_4915	N2	p__Firmicutes_A	g__Anaerotignum
SGB_4385	N2	p__Firmicutes_A	g__UBA11524
SGB_14419	N2	p__Firmicutes_A	g__CAG-110
SGB_14647	N2	p__Firmicutes_A	g__CAG-110
SGB_14562	N2	p__Firmicutes_A	g__CAG-110
SGB_14644	N2	p__Firmicutes_A	g__CAG-110
SGB_545	N2	p__Bacteroidota	g__Bacteroides
SGB_10566	N2	p__Firmicutes_A	g__CAG-448
SGB_15546	N2	p__Firmicutes_A	g__
SGB_13616	N2	p__Firmicutes_A	g__CAG-110
SGB_4377	N2	p__Firmicutes_A	g__SFTH01
SGB_8245	N2	p__Firmicutes_A	g__DTU089_A
SGB_2689	N2	p__Bacteroidota	g__RC9
SGB_13735	N2	p__Firmicutes_A	g__CAG-110
SGB_9963	N2	p__Firmicutes_A	g__
SGB_5557	N2	p__Firmicutes_A	g__Acetatifactor
SGB_11011	N2	p__Firmicutes_A	g__UBA1380
SGB_6178	N2	p__Firmicutes_A	g__Roseburia
SGB_6822	N2	p__Firmicutes_A	g__
SGB_13088	N2	p__Firmicutes_A	g__UMGS882
SGB_12025	N2	p__Firmicutes_A	g__UMGS1002
SGB_5241	N2	p__Firmicutes_A	g__
SGB_14607	N2	p__Firmicutes_A	g__CAG-110
SGB_12752	N2	p__Firmicutes_A	g__
SGB_10507	N2	p__Firmicutes_A	g__CAG-390
SGB_16240	N2	p__Firmicutes_A	g__
SGB_10011	N2	p__Firmicutes_A	g__UBA4644
SGB_19240	N2	p__Verrucomicrobiota	g__Akkermansia
SGB_13353	N2	p__Firmicutes_A	g__
SGB_18724	N2	p__Spirochaetota	g__Treponema_F
SGB_11930	N2	p__Firmicutes_A	g__UMGS1002
SGB_15464	N2	p__Firmicutes_A	g__UBA3855
SGB_4407	N2	p__Firmicutes_A	g__UBA11524
SGB_2589	N2	p__Bacteroidota	g__RC9
SGB_4916	N2	p__Firmicutes_A	g__Anaerotignum
SGB_6534	N2	p__Firmicutes_A	g__UMGS2037
SGB_4254	N2	p__Firmicutes_A	g__
SGB_14616	N2	p__Firmicutes_A	g__CAG-110
SGB_15109	N2	p__Firmicutes_A	g__
SGB_14417	N2	p__Firmicutes_A	g__CAG-110
SGB_5826	N2	p__Firmicutes_A	g__CAG-95
SGB_15786	N2	p__Firmicutes_A	g__Bacilliculturomica
SGB_15362	N2	p__Firmicutes_A	g__Ruminiclostridium_E
SGB_4416	N2	p__Firmicutes_A	g__UBA1224
SGB_17910	N2	p__Planctomycetota	g__
SGB_14086	N2	p__Firmicutes_A	g__CAG-110
SGB_4396	N2	p__Firmicutes_A	g__UBA11524
SGB_14928	N2	p__Firmicutes_A	g__UBA1777
SGB_14948	N2	p__Firmicutes_A	g__UBA9475
SGB_5434	N2	p__Firmicutes_A	g__Acetatifactor
SGB_5937	N2	p__Firmicutes_A	g__Faecalimonas
SGB_7240	N2	p__Firmicutes_A	g__
SGB_5853	N2	p__Firmicutes_A	g__COE1
SGB_6209	N2	p__Firmicutes_A	g__SFDP01
SGB_5378	N2	p__Firmicutes_A	g__
SGB_4330	N2	p__Firmicutes_A	g__SFFH01
SGB_14575	N2	p__Firmicutes_A	g__CAG-110
SGB_6027	N2	p__Firmicutes_A	g__Faecalimonas
SGB_14591	N2	p__Firmicutes_A	g__CAG-110
SGB_12175	N2	p__Firmicutes_A	g__UMGS1696
SGB_6265	N2	p__Firmicutes_A	g__SZUA-448
SGB_14963	N2	p__Firmicutes_A	g__UBA9475
SGB_4408	N2	p__Firmicutes_A	g__UBA11524
SGB_633	N2	p__Bacteroidota	g__Phocaeicola
SGB_6226	N2	p__Firmicutes_A	g__SFDP01
SGB_4412	N2	p__Firmicutes_A	g__UBA11524
SGB_4270	N2	p__Firmicutes_A	g__Firm-11
SGB_2651	N2	p__Bacteroidota	g__RC9
SGB_13738	N2	p__Firmicutes_A	g__CAG-110
SGB_5343	N2	p__Firmicutes_A	g__
SGB_4340	N2	p__Firmicutes_A	g__SFFH01
SGB_608	N2	p__Bacteroidota	g__Phocaeicola
SGB_10551	N2	p__Firmicutes_A	g__CAG-390
SGB_4400	N2	p__Firmicutes_A	g__UBA11524
SGB_13373	N2	p__Firmicutes_A	g__
SGB_618	N2	p__Bacteroidota	g__Phocaeicola
SGB_14582	N2	p__Firmicutes_A	g__CAG-110
SGB_840	N2	p__Bacteroidota	g__UBA1189
SGB_12208	N2	p__Firmicutes_A	g__UMGS1696
SGB_14604	N2	p__Firmicutes_A	g__CAG-110
SGB_5233	N2	p__Firmicutes_A	g__
SGB_4403	N2	p__Firmicutes_A	g__UBA11524
SGB_17909	N2	p__Planctomycetota	g__
SGB_8510	N2	p__Firmicutes_A	g__Ruminococcus_E
SGB_4411	N2	p__Firmicutes_A	g__UBA11524
SGB_5784	N2	p__Firmicutes_A	g__CAG-590
SGB_5292	N2	p__Firmicutes_A	g__
SGB_12223	N2	p__Firmicutes_A	g__UMGS1696
SGB_9562	N2	p__Firmicutes_A	g__UBA8612
SGB_14671	N2	p__Firmicutes_A	g__CAG-110
SGB_17927	N2	p__Planctomycetota	g__
SGB_4378	N2	p__Firmicutes_A	g__UBA11524
SGB_14566	N2	p__Firmicutes_A	g__CAG-110
SGB_6266	N2	p__Firmicutes_A	g__SZUA-448
SGB_13758	N2	p__Firmicutes_A	g__CAG-110
SGB_15002	N2	p__Firmicutes_A	g__Firm-08
SGB_614	N2	p__Bacteroidota	g__Phocaeicola
SGB_4774	N2	p__Firmicutes_A	g__UBA7102
SGB_17930	N2	p__Planctomycetota	g__
SGB_610	N2	p__Bacteroidota	g__Phocaeicola
SGB_17077	N2	p__Firmicutes	g__
SGB_5479	N2	p__Firmicutes_A	g__Acetatifactor
SGB_13401	N2	p__Firmicutes_A	g__
SGB_536	N2	p__Bacteroidota	g__
SGB_13316	N2	p__Firmicutes_A	g__
SGB_4391	N2	p__Firmicutes_A	g__UBA11524
SGB_6231	N2	p__Firmicutes_A	g__SFDP01
SGB_5938	N2	p__Firmicutes_A	g__Faecalimonas
SGB_14931	N2	p__Firmicutes_A	g__UBA1777
SGB_9554	N2	p__Firmicutes_A	g__UBA8612
SGB_5333	N2	p__Firmicutes_A	g__
SGB_15778	N2	p__Firmicutes_A	g__
SGB_4410	N2	p__Firmicutes_A	g__UBA11524
SGB_4406	N2	p__Firmicutes_A	g__UBA11524
SGB_14659	N2	p__Firmicutes_A	g__CAG-110
SGB_4395	N2	p__Firmicutes_A	g__UBA11524
SGB_4390	N2	p__Firmicutes_A	g__UBA11524
SGB_1059	N2	p__Bacteroidota	g__F082
SGB_12224	N2	p__Firmicutes_A	g__UMGS1696
SGB_13398	N2	p__Firmicutes_A	g__
SGB_4245	N2	p__Firmicutes_A	g__
SGB_14682	N2	p__Firmicutes_A	g__CAG-110
SGB_5283	N2	p__Firmicutes_A	g__
SGB_10609	N2	p__Firmicutes_A	g__CAG-448
SGB_5371	N2	p__Firmicutes_A	g__
SGB_4405	N2	p__Firmicutes_A	g__UBA11524
SGB_5866	N2	p__Firmicutes_A	g__COE1
SGB_4331	N2	p__Firmicutes_A	g__SFFH01
SGB_5869	N2	p__Firmicutes_A	g__COE1
SGB_12210	N2	p__Firmicutes_A	g__UMGS1696
SGB_14637	N2	p__Firmicutes_A	g__CAG-110
SGB_5346	N2	p__Firmicutes_A	g__
SGB_12195	N2	p__Firmicutes_A	g__UMGS1696
SGB_9952	N2	p__Firmicutes_A	g__UMGS1858
SGB_5553	N2	p__Firmicutes_A	g__Acetatifactor
SGB_6571	N2	p__Firmicutes_A	g__
SGB_12197	N2	p__Firmicutes_A	g__UMGS1696
SGB_4388	N2	p__Firmicutes_A	g__UBA11524
SGB_5363	N2	p__Firmicutes_A	g__
SGB_7822	N2	p__Firmicutes_A	g__CAG-177
SGB_12201	N2	p__Firmicutes_A	g__UMGS1696
SGB_5357	N2	p__Firmicutes_A	g__
SGB_4235	N2	p__Firmicutes_A	g__
SGB_13380	N2	p__Firmicutes_A	g__
SGB_4402	N2	p__Firmicutes_A	g__UBA11524
SGB_1539	N1	p__Bacteroidota	g__UBA1723
SGB_7478	N1	p__Firmicutes_A	g__
SGB_6055	N1	p__Firmicutes_A	g__FD2005
SGB_6139	N1	p__Firmicutes_A	g__NK4A136
SGB_8706	N1	p__Firmicutes_A	g__UBA1227
SGB_18845	N1	p__Verrucomicrobiota	g__UBA1067
SGB_2090	N1	p__Bacteroidota	g__UBA3663
SGB_15392	N1	p__Firmicutes_A	g__Ruminococcus
SGB_14818	N1	p__Firmicutes_A	g__F23-B02
SGB_5044	N1	p__Firmicutes_A	g__
SGB_855	N1	p__Bacteroidota	g__UBA1786
SGB_5396	N1	p__Firmicutes_A	g__AC2028
SGB_6305	N1	p__Firmicutes_A	g__UBA1258
SGB_15305	N1	p__Firmicutes_A	g__HUN007
SGB_868	N1	p__Bacteroidota	g__UBA4293
SGB_847	N1	p__Bacteroidota	g__UBA1786
SGB_5389	N1	p__Firmicutes_A	g__AC2028
SGB_5082	N1	p__Firmicutes_A	g__
SGB_2801	N1	p__Bacteroidota	g__W3P20-009
SGB_18672	N1	p__Spirochaetota	g__Treponema_D
SGB_6309	N1	p__Firmicutes_A	g__UBA1258
SGB_18730	N1	p__Spirochaetota	g__UBA1240
SGB_892	N1	p__Bacteroidota	g__UBA4334
SGB_14819	N1	p__Firmicutes_A	g__F23-B02
SGB_675	N1	p__Bacteroidota	g__Prevotella
SGB_5174	N1	p__Firmicutes_A	g__
SGB_6296	N1	p__Firmicutes_A	g__UBA1258
SGB_4353	N1	p__Firmicutes_A	g__SFHK01
SGB_18814	N1	p__Verrucomicrobiota	g__UBA1067
SGB_687	N1	p__Bacteroidota	g__Prevotella
SGB_2086	N1	p__Bacteroidota	g__UBA3663
SGB_18767	N1	p__Verrucomicrobiota	g__RUG572
SGB_8700	N1	p__Firmicutes_A	g__UBA1227
SGB_5836	N1	p__Firmicutes_A	g__CAG-95
SGB_2795	N1	p__Bacteroidota	g__W3P20-009
SGB_797	N1	p__Bacteroidota	g__UBA1189
SGB_18669	N1	p__Spirochaetota	g__Treponema_D
SGB_18667	N1	p__Spirochaetota	g__Treponema_D
SGB_852	N1	p__Bacteroidota	g__UBA1786
SGB_386	N1	p__Bacteroidota	g__
SGB_5168	N1	p__Firmicutes_A	g__
SGB_1039	N1	p__Bacteroidota	g__F082
SGB_7745	N1	p__Firmicutes_A	g__CAG-177
SGB_18820	N1	p__Verrucomicrobiota	g__UBA1067
SGB_6096	N1	p__Firmicutes_A	g__ISDg
SGB_1529	N1	p__Bacteroidota	g__UBA1723
SGB_2464	N1	p__Bacteroidota	g__RC9
SGB_6553	N1	p__Firmicutes_A	g__XBB2008
SGB_15954	N1	p__Firmicutes_A	g__
SGB_1007	N1	p__Bacteroidota	g__F082
SGB_6169	N1	p__Firmicutes_A	g__Pseudobutyrivibrio
SGB_903	N1	p__Bacteroidota	g__UBA4334
SGB_6141	N1	p__Firmicutes_A	g__OF09-33XD
SGB_1038	N1	p__Bacteroidota	g__F082
SGB_6365	N1	p__Firmicutes_A	g__UBA1712
SGB_18795	N1	p__Verrucomicrobiota	g__UBA1067
SGB_891	N1	p__Bacteroidota	g__UBA4334
SGB_6128	N1	p__Firmicutes_A	g__NK4A136
SGB_16780	N1	p__Firmicutes_C	g__Phascolarctobacterium_A
SGB_15317	N1	p__Firmicutes_A	g__HUN007
SGB_1231	N1	p__Bacteroidota	g__UBA1711
SGB_5388	N1	p__Firmicutes_A	g__AC2028
SGB_18853	N1	p__Verrucomicrobiota	g__UBA1067
SGB_853	N1	p__Bacteroidota	g__UBA1786
SGB_6134	N1	p__Firmicutes_A	g__NK4A136
SGB_4902	N1	p__Firmicutes_A	g__
SGB_6284	N1	p__Firmicutes_A	g__UBA1258
SGB_2451	N1	p__Bacteroidota	g__RC9
SGB_6166	N1	p__Firmicutes_A	g__Pseudobutyrivibrio
SGB_895	N1	p__Bacteroidota	g__UBA4334
SGB_14816	N1	p__Firmicutes_A	g__F23-B02
SGB_403	N1	p__Bacteroidota	g__
SGB_6136	N1	p__Firmicutes_A	g__NK4A136
SGB_2449	N1	p__Bacteroidota	g__RC9
SGB_1242	N1	p__Bacteroidota	g__UBA1711
SGB_18604	N1	p__Spirochaetota	g__Treponema_D
SGB_896	N1	p__Bacteroidota	g__UBA4334
SGB_15924	N1	p__Firmicutes_A	g__UBA1764
SGB_2463	N1	p__Bacteroidota	g__RC9
SGB_6196	N1	p__Firmicutes_A	g__RUG191
SGB_13222	N1	p__Firmicutes_A	g__
SGB_5165	N1	p__Firmicutes_A	g__
SGB_15957	N1	p__Firmicutes_A	g__
SGB_869	N1	p__Bacteroidota	g__UBA4293
SGB_657	N1	p__Bacteroidota	g__Prevotella
SGB_795	N1	p__Bacteroidota	g__UBA1189
SGB_13226	N1	p__Firmicutes_A	g__
SGB_6170	N1	p__Firmicutes_A	g__Pseudobutyrivibrio
SGB_16914	N1	p__Firmicutes	g__
