SGB_ID	SGB
SGB_61	T1900045390_YK20190080_bin.88
SGB_62	T1900045441_YK20190132_bin.88
SGB_63	T1900045451_YK20190142_bin.253
SGB_64	T1900045453_YK20190144_bin.34
SGB_65	T1900045456_YK20190147_bin.44
SGB_66	T1900045484_YK20190178_bin.149
SGB_67	T1900045488_YK20190182_bin.194
SGB_68	T1900045509_YK20190203_bin.161
SGB_69	T1900045517_YK20190211_bin.336
SGB_70	T1900045544_YK20190238_bin.153
SGB_71	T1900045565_YK20190259_bin.56
SGB_72	T1900045629_YK20190323_bin.204
SGB_73	T1900045651_YK20190345_bin.247
SGB_74	T1900045666_YK20190360_bin.162
SGB_75	T1900045666_YK20190360_bin.246
SGB_76	T1900045669_YK20190363_bin.202
SGB_77	T1900045673_YK20190367_bin.84
SGB_78	T1900045697_YK20190391_bin.193
SGB_79	T1900045719_YK20190413_bin.62
SGB_80	T1900045720_YK20190414_bin.38
SGB_81	T1900045720_YK20190414_bin.46
SGB_82	T1900045722_YK20190416_bin.226
SGB_83	T1900045723_YK20190417_bin.349
SGB_84	T1900045732_YK20190426_bin.5
SGB_85	T1900045735_YK20190429_bin.37
SGB_86	T1900045735_YK20190429_bin.38
SGB_87	T1900045739_YK20190433_bin.178
SGB_88	T1900045741_YK20190435_bin.252
SGB_89	T1900045743_YK20190437_bin.233
SGB_90	T1900045744_YK20190438_bin.193
SGB_91	T1900045747_YK20190441_bin.119
SGB_92	T1900045749_YK20190443_bin.97
SGB_93	T1900045750_YK20190444_bin.278
SGB_94	T1900045751_YK20190445_bin.185
SGB_95	T1900045761_YK20190455_bin.15
SGB_96	T1900045761_YK20190455_bin.90
SGB_97	T1900045774_TC20190228_bin.86
SGB_98	T2001009370_Yak-NA_bin.443
SGB_99	TP20200814-DZC105_DT2009055433-1_bin.66
SGB_100	TP20200814-DZC110_DT2009055438-1_bin.328
SGB_101	TP20200814-DZC113_DT2009055441-1_bin.185
SGB_102	TP20200814-DZC142_DT2009055470-1_bin.315
SGB_103	TP20200814-DZC41_DT2009055369-1_bin.107
SGB_104	TP20200814-DZC57_DT2009055385-1_bin.189
SGB_105	TP20200814-DZC58_DT2009055386-1_bin.305
SGB_106	TP20200814-DZC7_DT2009055335-1_bin.215
SGB_107	TP20200814-DZC72_DT2009055400-1_bin.196
SGB_108	TP20200815-DZC11_DT2009055481-1_bin.56
SGB_109	TP20200815-DZC51_DT2009055521-1_bin.169
SGB_110	TP20200815-DZC58_DT2009055528-1_bin.582
SGB_111	TP20200815-DZC60_DT2009055530-1_bin.370
SGB_112	TP20200815-DZC66_DT2009055536-1_bin.177
SGB_113	TP20200815-DZC66_DT2009055536-1_bin.240
SGB_114	TP20200823-QMN4_DT2009055551-1_bin.19
SGB_115	TP20200824-WDL34_DT2009055567-1_bin.186
SGB_116	TP20200824-WDL34_DT2009055567-1_bin.248
SGB_117	T1900045278_TH20190048_bin.53
