Sample,Coverage,Group
T1900044786_TS20190252,0.039663433,SGB_6458
T1900044787_TS20190253,0.016062055,SGB_6458
T1900044788_TS20190254,0.216531709,SGB_6458
T1900044789_TS20190255,0.191360698,SGB_6458
T1900044790_TS20190256,0.780600428,SGB_6458
T1900044791_TS20190257,0.249060486,SGB_6458
T1900044792_TS20190258,0.054049167,SGB_6458
T1900044793_TS20190259,0.168663365,SGB_6458
T1900044794_TS20190260,0.135162037,SGB_6458
T1900044795_TS20190261,0.162381094,SGB_6458
T1900044796_TS20190262,0.11709611,SGB_6458
T1900044797_TS20190263,0.026844336,SGB_6458
T1900044798_TS20190264,0.113254199,SGB_6458
T1900044799_TS20190265,0.051104189,SGB_6458
T1900044800_TS20190266,0.03587992,SGB_6458
T1900044801_TS20190267,0.452707587,SGB_6458
T1900044802_TS20190268,0.120058682,SGB_6458
T1900044803_TS20190269,0.22078802,SGB_6458
T1900044804_TS20190270,0.264032071,SGB_6458
T1900044805_TS20190271,0.186465004,SGB_6458
T1900044806_TS20190272,0.096823414,SGB_6458
T1900044807_TS20190273,0.365791608,SGB_6458
T1900044808_TS20190274,0.039241545,SGB_6458
T1900044809_TS20190275,0.057587484,SGB_6458
T1900044810_TS20190276,0.031728051,SGB_6458
T1900044811_TS20190277,0.131100011,SGB_6458
T1900044812_TS20190278,0.319929758,SGB_6458
T1900044813_TS20190279,0.121909822,SGB_6458
T1900044814_TS20190280,0.202779742,SGB_6458
T1900044815_TS20190281,0.212537065,SGB_6458
T1900044816_TS20190282,0.147396032,SGB_6458
T1900044817_TS20190283,0.296113505,SGB_6458
T1900044818_TS20190284,0.046518453,SGB_6458
T1900044819_TS20190285,0.15250997,SGB_6458
T1900044820_TS20190286,0.083577563,SGB_6458
T1900044821_TS20190287,0.512097171,SGB_6458
T1900044822_TS20190288,0.033198482,SGB_6458
T1900044823_TS20190289,0.018955747,SGB_6458
T1900044824_TS20190290,0.48313853,SGB_6458
T1900044825_TS20190291,0.752819853,SGB_6458
T1900044826_TS20190292,0.226634927,SGB_6458
T1900044827_TS20190293,0.086472379,SGB_6458
T1900044828_TS20190294,0.380848545,SGB_6458
T1900044829_TS20190295,0.342453769,SGB_6458
