sample,scaffold,gene,coverage,breadth,pNpS_variants
T1900044536_TS20190002,SGB_6458_k141_2641881,SGB_6458_k141_2641881_127,1.3570601851851851,0.5688657407407407,0.152585119798234
T1900044536_TS20190002,SGB_6458_k141_546057,SGB_6458_k141_546057_5,2.776383077638308,0.810320781032078,0.0217221584385761
T1900044536_TS20190002,SGB_6458_k141_546057,SGB_6458_k141_546057_17,3.85140562248996,0.8246318607764391,0.0245428441892094
T1900044536_TS20190002,SGB_6458_k141_546057,SGB_6458_k141_546057_32,3.773069679849341,0.9962335216572504,0.0733916938110752
T1900044536_TS20190002,SGB_6458_k141_546057,SGB_6458_k141_546057_83,1.768270944741533,0.5142602495543672,0.3169870537465681
T1900044536_TS20190002,SGB_6458_k141_5516984,SGB_6458_k141_5516984_21,6.38546255506608,1.0,0.130023748629887
T1900044536_TS20190002,SGB_6458_k141_3771427,SGB_6458_k141_3771427_7,1.57736240913811,0.719626168224299,0.1273308957952458
T1900044536_TS20190002,SGB_6458_k141_3771427,SGB_6458_k141_3771427_8,5.919774011299435,0.9954802259887006,0.207466138090519
T1900044536_TS20190002,SGB_6458_k141_3771427,SGB_6458_k141_3771427_12,4.2265625,0.9700520833333334,0.14
T1900044536_TS20190002,SGB_6458_k141_625900,SGB_6458_k141_625900_96,12.621993127147766,1.0,0.2676056338028174
T1900044536_TS20190002,SGB_6458_k141_625900,SGB_6458_k141_625900_97,11.771488469601676,1.0,0.2141504733432981
T1900044536_TS20190002,SGB_6458_k141_625900,SGB_6458_k141_625900_114,2.5161904761904763,0.5685714285714286,0.058412176059235
T1900044536_TS20190002,SGB_6458_k141_625900,SGB_6458_k141_625900_115,8.126126126126126,0.924174174174174,0.0669571766731226
T1900044536_TS20190002,SGB_6458_k141_625900,SGB_6458_k141_625900_116,1.6422222222222222,0.2417777777777777,0.2126332825590234
T1900044536_TS20190002,SGB_6458_k141_625900,SGB_6458_k141_625900_133,4.219803006739243,0.9764126490409538,0.1084593458621199
T1900044536_TS20190002,SGB_6458_k141_625900,SGB_6458_k141_625900_137,3.738015607580825,0.8807134894091416,0.2789699570815457
T1900044536_TS20190002,SGB_6458_k141_5224185,SGB_6458_k141_5224185_7,0.7191854233654876,0.1677384780278671,0.1506402793946444
T1900044536_TS20190002,SGB_6458_k141_5224185,SGB_6458_k141_5224185_24,2.335680751173709,0.7971830985915493,0.0443238486359633
T1900044536_TS20190002,SGB_6458_k141_5224185,SGB_6458_k141_5224185_27,0.7746979388770433,0.4157782515991471,0.6742857142857152
T1900044536_TS20190002,SGB_6458_k141_5224185,SGB_6458_k141_5224185_33,2.7373417721518987,0.8575949367088608,0.3118926422952344
T1900044536_TS20190002,SGB_6458_k141_5224185,SGB_6458_k141_5224185_51,5.012578616352202,0.9968553459119496,0.3648558014755189
T1900044536_TS20190002,SGB_6458_k141_5224185,SGB_6458_k141_5224185_88,4.717073170731707,1.0,0.254414931801866
T1900044536_TS20190002,SGB_6458_k141_2120905,SGB_6458_k141_2120905_96,2.4745649263721554,0.7456492637215528,0.0503538005021684
T1900044536_TS20190002,SGB_6458_k141_2120905,SGB_6458_k141_2120905_139,4.963541666666667,0.9924242424242424,0.023966704936854
T1900044536_TS20190002,SGB_6458_k141_2120905,SGB_6458_k141_2120905_142,2.829284750337382,0.6936572199730094,0.0652914798206278
T1900044536_TS20190002,SGB_6458_k141_2120905,SGB_6458_k141_2120905_146,4.013888888888889,0.9756944444444444,0.3133640552995394
T1900044537_TS20190003,SGB_6458_k141_2494980,SGB_6458_k141_2494980_1,28.0251572327044,1.0,0.0502232142857141
T1900044537_TS20190003,SGB_6458_k141_3592943,SGB_6458_k141_3592943_1,2.281167108753316,0.5446507515473032,0.1356123215627354
T1900044537_TS20190003,SGB_6458_k141_3592943,SGB_6458_k141_3592943_86,3.942092457420925,0.964963503649635,0.1225806451612899
T1900044537_TS20190003,SGB_6458_k141_2539370,SGB_6458_k141_2539370_4,4.931271477663231,1.0,0.2481584349716204
T1900044537_TS20190003,SGB_6458_k141_5027942,SGB_6458_k141_5027942_5,4.763713080168777,0.9957805907172996,0.2113759806879904
T1900044537_TS20190003,SGB_6458_k141_5027942,SGB_6458_k141_5027942_7,5.880258899676376,1.0,0.0307692307692307
T1900044537_TS20190003,SGB_6458_k141_3622728,SGB_6458_k141_3622728_2,6.459876543209877,0.875,0.1432845744680849
T1900044537_TS20190003,SGB_6458_k141_3980954,SGB_6458_k141_3980954_1,4.201626016260162,0.9154471544715448,0.2029411764705879
T1900044537_TS20190003,SGB_6458_k141_3980954,SGB_6458_k141_3980954_2,6.325958702064897,0.9793510324483776,0.2253164556962023
T1900044537_TS20190003,SGB_6458_k141_546057,SGB_6458_k141_546057_1,3.724489795918368,0.9625850340136054,0.2492917847025498
T1900044537_TS20190003,SGB_6458_k141_625900,SGB_6458_k141_625900_114,2.8780952380952383,0.9323809523809524,0.058412176059235
T1900044537_TS20190003,SGB_6458_k141_625900,SGB_6458_k141_625900_115,7.135885885885886,0.8828828828828829,0.1492188508715304
T1900044537_TS20190003,SGB_6458_k141_625900,SGB_6458_k141_625900_116,1.001777777777778,0.244,0.2835110434120312
T1900044537_TS20190003,SGB_6458_k141_5224185,SGB_6458_k141_5224185_1,0.9868173258003766,0.4952919020715631,0.2962356792144022
T1900044537_TS20190003,SGB_6458_k141_5224185,SGB_6458_k141_5224185_2,9.773148148148149,1.0,0.1904761904761903
T1900044537_TS20190003,SGB_6458_k141_5224185,SGB_6458_k141_5224185_3,8.404874213836479,0.9025157232704404,0.0313611017551739
T1900044538_TS20190004,SGB_6458_k141_2494980,SGB_6458_k141_2494980_1,13.838574423480084,1.0,0.1171874999999997
T1900044538_TS20190004,SGB_6458_k141_2539370,SGB_6458_k141_2539370_2,4.409321175278622,0.8865248226950354,0.6403056768558922
T1900044538_TS20190004,SGB_6458_k141_5027942,SGB_6458_k141_5027942_3,7.751111111111111,0.9955555555555556,0.4741379310344826
T1900044538_TS20190004,SGB_6458_k141_5027942,SGB_6458_k141_5027942_5,4.489451476793249,0.9549929676511956,0.4697244015288675
T1900044538_TS20190004,SGB_6458_k141_3622728,SGB_6458_k141_3622728_1,4.452574525745257,0.7655826558265583,0.1198905563386121
T1900044538_TS20190004,SGB_6458_k141_3622728,SGB_6458_k141_3622728_2,10.257716049382717,1.0,0.1432845744680849
T1900044538_TS20190004,SGB_6458_k141_3980954,SGB_6458_k141_3980954_2,5.902654867256637,1.0,0.3661392405063288
T1900044538_TS20190004,SGB_6458_k141_625900,SGB_6458_k141_625900_97,6.750524109014675,0.9853249475890984,0.0611858495266566
T1900044538_TS20190004,SGB_6458_k141_625900,SGB_6458_k141_625900_115,6.113363363363363,0.9481981981981982,0.0717398321497742
T1900044538_TS20190004,SGB_6458_k141_625900,SGB_6458_k141_625900_116,0.9386666666666666,0.2542222222222222,0.226808834729625
T1900044539_TS20190005,SGB_6458_k141_2494980,SGB_6458_k141_2494980_1,16.21802935010482,1.0,0.1406249999999997
T1900044539_TS20190005,SGB_6458_k141_3592943,SGB_6458_k141_3592943_1,1.610079575596817,0.7285587975243147,0.1356123215627354
T1900044539_TS20190005,SGB_6458_k141_3592943,SGB_6458_k141_3592943_10,2.4081115335868186,0.9024081115335868,0.1045281995661604
T1900044539_TS20190005,SGB_6458_k141_2539370,SGB_6458_k141_2539370_2,1.9903748733535969,0.8880445795339412,0.582096069868993
T1900044539_TS20190005,SGB_6458_k141_5027942,SGB_6458_k141_5027942_5,7.014064697609001,0.9985935302391,0.1761466505733253
T1900044539_TS20190005,SGB_6458_k141_3980954,SGB_6458_k141_3980954_2,2.75811209439528,0.9321533923303836,1.1265822784810118
T1900044539_TS20190005,SGB_6458_k141_2957991,SGB_6458_k141_2957991_1,2.5890227576974567,0.4859437751004016,0.1151724137931035
T1900044539_TS20190005,SGB_6458_k141_5443466,SGB_6458_k141_5443466_183,0.720754716981132,0.1616352201257861,0.0802580466148722
T1900044539_TS20190005,SGB_6458_k141_625900,SGB_6458_k141_625900_96,6.166093928980527,0.9988545246277204,0.5352112676056348
T1900044539_TS20190005,SGB_6458_k141_625900,SGB_6458_k141_625900_97,9.471698113207546,0.7421383647798742,0.0229446935724962
T1900044539_TS20190005,SGB_6458_k141_625900,SGB_6458_k141_625900_115,9.342342342342342,0.8761261261261262,0.0759598222762315
T1900044540_TS20190006,SGB_6458_k141_2494980,SGB_6458_k141_2494980_1,45.488469601677146,1.0,0.0334821428571427
T1900044540_TS20190006,SGB_6458_k141_2539370,SGB_6458_k141_2539370_2,4.022289766970618,0.9903748733535968,2.037336244541476
T1900044540_TS20190006,SGB_6458_k141_5027942,SGB_6458_k141_5027942_3,4.946666666666666,1.0,0.1422413793103447
T1900044540_TS20190006,SGB_6458_k141_5027942,SGB_6458_k141_5027942_5,6.306610407876231,0.9648382559774964,0.1610483662384688
T1900044540_TS20190006,SGB_6458_k141_5027942,SGB_6458_k141_5027942_7,8.255663430420713,0.9870550161812298,0.0512820512820512
T1900044540_TS20190006,SGB_6458_k141_3622728,SGB_6458_k141_3622728_2,3.220679012345679,0.7561728395061729,0.2865691489361699
T1900044540_TS20190006,SGB_6458_k141_3980954,SGB_6458_k141_3980954_1,3.3902439024390243,0.8227642276422764,0.5411764705882345
T1900044540_TS20190006,SGB_6458_k141_3980954,SGB_6458_k141_3980954_2,5.648967551622419,0.930678466076696,0.1408227848101264
T1900044540_TS20190006,SGB_6458_k141_1508385,SGB_6458_k141_1508385_3,2.1446781389420013,0.6927979604843849,0.2864184008762315
T1900044540_TS20190006,SGB_6458_k141_2641881,SGB_6458_k141_2641881_58,1.9348591549295773,0.397887323943662,0.0974086266565373
T1900044540_TS20190006,SGB_6458_k141_625900,SGB_6458_k141_625900_97,4.580712788259958,0.8490566037735849,0.2753363228699547
T1900044540_TS20190006,SGB_6458_k141_625900,SGB_6458_k141_625900_115,3.4804804804804803,0.8438438438438438,0.2869593285990969
T1900044540_TS20190006,SGB_6458_k141_5224185,SGB_6458_k141_5224185_2,8.541666666666666,1.0,0.214285714285714
T1900044540_TS20190006,SGB_6458_k141_5224185,SGB_6458_k141_5224185_114,1.0253025302530252,0.2123212321232123,0.2736644798500476
T1900044541_TS20190007,SGB_6458_k141_2539370,SGB_6458_k141_2539370_2,6.376393110435664,0.9670719351570416,0.4850800582241608
T1900044541_TS20190007,SGB_6458_k141_5027942,SGB_6458_k141_5027942_3,9.995555555555557,1.0,1.4224137931034475
T1900044541_TS20190007,SGB_6458_k141_5027942,SGB_6458_k141_5027942_5,6.120956399437412,0.8059071729957806,0.2113759806879904
T1900044541_TS20190007,SGB_6458_k141_5027942,SGB_6458_k141_5027942_7,5.818770226537217,0.9773462783171522,0.0279720279720279
T1900044541_TS20190007,SGB_6458_k141_3622728,SGB_6458_k141_3622728_1,4.642276422764228,0.9363143631436316,0.1198905563386121
T1900044541_TS20190007,SGB_6458_k141_3622728,SGB_6458_k141_3622728_2,7.996913580246914,0.8287037037037037,0.229255319148936
T1900044541_TS20190007,SGB_6458_k141_3980954,SGB_6458_k141_3980954_1,4.252032520325203,0.9609756097560976,0.0901960784313724
T1900044541_TS20190007,SGB_6458_k141_3980954,SGB_6458_k141_3980954_2,5.334808259587021,0.948377581120944,0.1280207134637513
T1900044541_TS20190007,SGB_6458_k141_2641881,SGB_6458_k141_2641881_54,5.223292067858781,0.9679046309032554,0.0779119594857806
T1900044541_TS20190007,SGB_6458_k141_625900,SGB_6458_k141_625900_96,12.493699885452465,1.0,1.0704225352112695
T1900044541_TS20190007,SGB_6458_k141_625900,SGB_6458_k141_625900_97,10.61215932914046,1.0,0.078667520819987
T1900044541_TS20190007,SGB_6458_k141_625900,SGB_6458_k141_625900_114,1.1314285714285717,0.4380952380952381,0.058412176059235
T1900044541_TS20190007,SGB_6458_k141_625900,SGB_6458_k141_625900_115,6.01051051051051,0.9181681681681682,0.0220737945076228
T1900044541_TS20190007,SGB_6458_k141_625900,SGB_6458_k141_625900_116,1.2026666666666668,0.1853333333333333,0.5670220868240624
T1900044542_TS20190008,SGB_6458_k141_2494980,SGB_6458_k141_2494980_1,22.0377358490566,1.0,0.0468749999999999
T1900044542_TS20190008,SGB_6458_k141_2539370,SGB_6458_k141_2539370_4,3.94305351006382,0.9715267550319096,0.0579036348267114
T1900044542_TS20190008,SGB_6458_k141_5027942,SGB_6458_k141_5027942_3,1.951111111111111,0.6711111111111111,0.2844827586206895
T1900044542_TS20190008,SGB_6458_k141_3622728,SGB_6458_k141_3622728_1,3.0311653116531163,0.951219512195122,0.0932482104855871
T1900044542_TS20190008,SGB_6458_k141_3622728,SGB_6458_k141_3622728_2,4.577160493827161,0.8348765432098766,0.0781552224371372
T1900044542_TS20190008,SGB_6458_k141_3980954,SGB_6458_k141_3980954_1,3.497560975609756,0.7902439024390244,0.2705882352941172
T1900044542_TS20190008,SGB_6458_k141_3980954,SGB_6458_k141_3980954_2,5.36283185840708,0.9424778761061948,0.3218806509945748
T1900044542_TS20190008,SGB_6458_k141_2957991,SGB_6458_k141_2957991_1,1.6278447121820616,0.6385542168674698,0.0359913793103448
T1900044542_TS20190008,SGB_6458_k141_625900,SGB_6458_k141_625900_97,4.274633123689728,0.6457023060796646,0.0917787742899849
T1900044542_TS20190008,SGB_6458_k141_625900,SGB_6458_k141_625900_114,2.018095238095238,0.4104761904761905,0.2920608802961753
T1900044542_TS20190008,SGB_6458_k141_625900,SGB_6458_k141_625900_115,5.774024024024024,0.9226726726726728,0.023913277383258
T1900044542_TS20190008,SGB_6458_k141_625900,SGB_6458_k141_625900_116,1.1111111111111112,0.2284444444444444,0.8505331302360937
T1900044542_TS20190008,SGB_6458_k141_5224185,SGB_6458_k141_5224185_2,9.657407407407408,1.0,0.2448979591836732
T1900044542_TS20190008,SGB_6458_k141_5224185,SGB_6458_k141_5224185_3,6.694182389937107,0.809748427672956,0.0256590832542332
