Sample_ID,HQ_MAGs_n,MQ_MAGs_n,LQ_MAGs_n,Sample_n,HMQ_MAGs,Bins
T1900045270_TH20190040,32,98,167,s6,130,297
T1900045271_TH20190041,32,69,141,s6,101,242
T1900045272_TH20190042,18,51,122,s6,69,191
T1900045273_TH20190043,20,62,125,s6,82,207
T1900045274_TH20190044,22,68,92,s6,90,182
T1900045275_TH20190045,28,75,160,s6,103,263
T1900045276_TH20190046,21,101,159,s6,122,281
T1900045277_TH20190047,21,89,184,s6,110,294
T1900045278_TH20190048,11,49,90,s6,60,150
T1900045279_TH20190049,22,97,140,s6,119,259
T1900045280_TH20190050,25,72,178,s6,97,275
T1900045281_TH20190051,24,69,129,s6,93,222
T1900045282_TH20190052,34,94,107,s6,128,235
T1900045283_TH20190053,33,112,139,s6,145,284
T1900045284_TH20190054,36,145,170,s6,181,351
T1900045285_TH20190055,40,106,199,s6,146,345
T1900045286_TH20190056,32,112,153,s6,144,297
T1900045287_TH20190057,43,149,223,s6,192,415
T1900045288_TH20190058,31,110,150,s6,141,291
T1900045289_TH20190059,18,46,106,s6,64,170
T1900045290_TH20190060,46,134,186,s6,180,366
T1900045291_TH20190061,23,81,139,s6,104,243
T1900045292_TH20190062,27,101,131,s6,128,259
T1900045293_TH20190063,34,106,179,s6,140,319
T1900045294_TH20190064,23,100,174,s6,123,297
T1900045295_TH20190065,31,112,136,s6,143,279
T1900045296_TH20190066,35,130,213,s6,165,378
T1900045297_TH20190067,50,113,170,s6,163,333
T1900045298_TH20190068,14,70,122,s6,84,206
T1900045299_TH20190069,28,79,123,s6,107,230
T1900045300_TH20190070,24,80,156,s6,104,260
T1900045301_TH20190071,25,100,148,s6,125,273
T1900045302_TH20190072,25,73,158,s6,98,256
T1900045303_TH20190073,30,90,156,s6,120,276
T1900045304_TH20190074,33,118,170,s6,151,321
T1900045305_TH20190075,35,123,169,s6,158,327
T1900045306_TH20190076,30,103,169,s6,133,302
T1900045307_TH20190077,34,85,146,s6,119,265
T1900045308_TH20190078,34,100,159,s6,134,293
T1900045309_TH20190079,35,94,130,s6,129,259
T1900045310_TH20190080,17,85,108,s6,102,210
T1900045311_TH20190081,19,90,140,s6,109,249
T2001009369_TH82,16,120,178,s6,136,314
T1900045231_TH20190001,16,24,78,s8,40,118
T1900045232_TH20190002,22,103,195,s8,125,320
T1900045235_TH20190005,15,106,182,s8,121,303
T1900045236_TH20190006,71,175,280,s8,246,526
T1900045237_TH20190007,18,97,164,s8,115,279
T1900045238_TH20190008,1,6,34,s8,7,41
T1900045239_TH20190009,34,114,254,s8,148,402
T1900045240_TH20190010,14,92,185,s8,106,291
T1900045241_TH20190011,13,51,120,s8,64,184
T1900045242_TH20190012,32,139,251,s8,171,422
T1900045243_TH20190013,57,198,319,s8,255,574
T1900045244_TH20190014,6,17,162,s8,23,185
T1900045245_TH20190015,11,76,193,s8,87,280
T1900045246_TH20190016,53,164,312,s8,217,529
T1900045247_TH20190017,51,213,333,s8,264,597
T1900045248_TH20190018,35,189,321,s8,224,545
T1900045249_TH20190019,58,239,335,s8,297,632
T1900045250_TH20190020,39,244,384,s8,283,667
T1900045252_TH20190022,28,93,160,s8,121,281
T1900045253_TH20190023,27,98,172,s8,125,297
T1900045254_TH20190024,28,95,188,s8,123,311
T1900045255_TH20190025,23,70,118,s8,93,211
T1900045256_TH20190026,21,62,116,s8,83,199
T1900045257_TH20190027,19,66,179,s8,85,264
T1900045258_TH20190028,32,85,152,s8,117,269
T1900045259_TH20190029,37,92,148,s8,129,277
T1900045260_TH20190030,22,85,132,s8,107,239
T1900045261_TH20190031,21,72,97,s8,93,190
T1900045262_TH20190032,20,101,137,s8,121,258
T1900045263_TH20190033,9,39,95,s8,48,143
T1900045264_TH20190034,27,86,133,s8,113,246
T1900045265_TH20190035,32,120,182,s8,152,334
T1900045266_TH20190036,26,95,152,s8,121,273
T1900045267_TH20190037,40,138,169,s8,178,347
T1900045268_TH20190038,12,50,107,s8,62,169
T1900045269_TH20190039,27,86,164,s8,113,277
T1900045270_TH20190040,37,96,187,s8,133,320
T1900045271_TH20190041,31,79,149,s8,110,259
T1900045272_TH20190042,23,62,126,s8,85,211
T1900045273_TH20190043,23,71,130,s8,94,224
T1900045274_TH20190044,22,72,92,s8,94,186
T1900045275_TH20190045,29,70,168,s8,99,267
T1900045276_TH20190046,25,111,183,s8,136,319
T1900045277_TH20190047,21,99,170,s8,120,290
T1900045278_TH20190048,11,57,101,s8,68,169
T1900045279_TH20190049,28,99,145,s8,127,272
T1900045280_TH20190050,28,93,175,s8,121,296
T1900045281_TH20190051,20,73,139,s8,93,232
T1900045282_TH20190052,37,96,117,s8,133,250
T1900045283_TH20190053,25,121,141,s8,146,287
T1900045284_TH20190054,38,147,171,s8,185,356
T1900045285_TH20190055,38,121,209,s8,159,368
T1900045286_TH20190056,37,105,150,s8,142,292
T1900045287_TH20190057,47,150,210,s8,197,407
T1900045288_TH20190058,37,119,162,s8,156,318
T1900045289_TH20190059,18,56,105,s8,74,179
T1900045290_TH20190060,61,125,206,s8,186,392
T1900045291_TH20190061,23,78,132,s8,101,233
T1900045292_TH20190062,29,101,126,s8,130,256
T1900045293_TH20190063,34,112,210,s8,146,356
