"","s1","s4","s6","s8","s10","s15","s20"
"255_1",1,1,1,1,1,1,1
"256_1",1,1,1,1,1,1,1
"257_1",0,1,1,1,1,1,1
"258_1",1,1,1,1,1,1,1
"259_1",1,1,1,1,1,1,1
"259_2",1,1,1,1,1,1,1
"260_1",0,0,1,0,1,1,1
"261_1",1,1,1,1,1,0,1
"262_1",1,1,1,1,1,1,1
"262_2",1,1,1,1,1,1,1
"263_1",1,1,1,1,1,1,1
"264_1",1,1,1,0,0,1,1
"265_1",1,1,1,1,1,1,1
"266_1",0,1,0,1,1,0,1
"267_1",1,1,1,1,1,1,1
"268_1",1,1,1,1,1,1,1
"269_1",1,1,0,0,0,1,0
"269_2",1,1,1,1,1,1,1
"270_1",1,1,1,1,1,1,1
"271_1",1,1,1,1,1,1,1
"272_1",1,1,1,1,1,1,1
"273_1",1,1,1,1,1,1,1
"274_1",1,1,1,1,1,1,1
"275_1",1,1,1,1,1,1,1
"276_1",1,1,1,1,1,1,1
"277_1",1,1,1,1,1,1,1
"278_1",1,1,1,1,1,1,1
"279_1",1,1,1,1,1,1,1
"280_1",1,1,1,1,1,1,1
"281_1",1,1,1,1,1,1,1
"282_1",0,1,1,1,1,1,1
"283_1",1,1,1,1,1,1,1
"284_1",1,1,1,1,1,1,1
"285_1",0,0,1,0,1,0,0
"286_1",1,1,1,1,1,1,1
"287_1",1,1,1,1,1,1,1
"288_1",1,1,1,1,1,1,1
"288_2",1,1,1,1,1,1,1
"289_1",0,0,0,1,0,1,0
"290_1",1,1,1,0,1,1,1
"290_2",0,1,1,1,1,1,1
"291_1",1,1,1,1,1,1,1
"291_2",0,0,1,1,0,0,0
"291_3",1,1,1,1,1,1,1
"292_0",0,0,0,0,0,0,1
"293_1",0,0,1,0,0,0,1
"294_1",1,1,1,1,1,1,1
"295_1",1,1,1,1,1,1,1
"296_1",1,1,1,1,0,1,1
"297_1",1,1,1,1,1,1,1
"298_1",0,1,1,1,1,1,1
"299_0",0,0,0,0,0,1,0
"300_1",1,1,1,1,1,1,1
"301_1",1,1,1,1,1,1,1
"302_1",0,0,1,1,1,1,1
"303_1",1,1,1,1,1,1,1
"304_0",0,0,0,0,0,0,1
