"","s1","s4","s6","s8","s10","s15","s20"
"1348_1",0,0,0,0,0,1,1
"1349_1",0,1,1,1,1,0,1
"1350_1",1,1,1,1,1,1,1
"1351_1",1,1,0,0,0,0,1
"1352_1",1,1,1,1,1,1,1
"1353_1",0,0,0,0,0,1,1
"1354_1",1,1,1,1,1,1,1
"1355_1",1,0,1,0,1,1,1
"1356_1",0,0,0,0,0,1,1
"1357_1",0,0,0,0,0,1,1
"1358_1",1,1,1,1,1,1,1
"1359_1",1,0,0,1,1,1,1
"1360_1",1,1,1,1,1,1,1
"1361_1",1,1,1,1,1,1,1
"1362_1",1,1,1,1,1,1,1
"1363_1",1,1,1,1,1,1,1
"1364_1",1,1,1,1,1,1,1
"1365_1",1,1,1,0,0,0,1
"1366_0",0,0,0,0,0,0,1
"1367_0",0,0,0,0,0,0,1
"1368_1",1,1,1,1,1,1,1
"1369_1",1,1,1,1,1,1,1
"1370_1",1,1,1,1,1,1,1
"1371_1",0,1,1,1,1,1,1
"1372_1",0,1,0,1,0,0,0
"1373_1",1,1,1,1,1,1,1
"1374_0",0,0,0,0,0,0,1
"1375_1",1,1,1,1,1,1,1
"1376_1",0,1,1,1,1,1,1
"1377_1",1,1,1,1,1,1,1
"1378_1",1,1,0,0,0,0,0
"1379_1",0,0,1,0,0,1,1
"1380_1",1,0,1,0,1,1,1
"1381_1",1,1,1,1,1,1,1
"1382_0",0,0,0,0,0,1,0
"1383_1",0,0,1,0,0,1,1
"1384_1",0,0,1,1,1,0,1
"1385_1",0,0,1,0,1,0,1
"1386_1",1,1,1,1,1,1,1
"1387_1",0,1,1,1,1,1,1
"1388_1",1,1,1,1,1,1,1
"1389_1",1,1,1,1,1,1,1
"1390_1",1,1,1,0,1,0,1
"1391_1",1,1,1,1,1,1,1
"1392_1",0,0,1,1,0,0,0
"1393_1",1,1,1,1,1,1,1
"1394_1",1,0,1,1,1,1,1
"1395_1",0,0,1,1,1,1,1
"1396_1",1,1,1,1,1,1,1
"1397_1",1,1,1,1,1,1,1
"1398_1",1,1,1,0,1,1,0
"1399_1",1,1,1,1,1,1,1
"1400_0",0,1,0,0,0,0,0
"1401_1",1,1,1,1,1,1,1
"1402_1",1,1,1,0,1,1,1
"1403_0",0,0,0,0,0,0,1
"1404_0",0,0,0,0,0,0,1
"1405_1",1,1,1,1,1,1,1
"1406_1",1,1,1,1,1,1,1
"1407_1",1,1,1,1,1,1,1
"1408_1",1,1,1,1,1,1,1
"1409_1",1,1,1,0,1,0,1
"1410_1",1,1,1,1,1,1,1
"1411_1",0,0,0,1,1,1,1
"1412_1",1,1,1,1,1,1,1
"1413_1",1,1,1,1,1,1,1
"1414_1",1,1,1,1,1,1,1
"1415_1",1,0,1,1,1,1,1
"1416_1",0,1,1,1,1,1,1
"1417_1",1,1,1,1,1,1,1
"1418_1",1,1,1,0,0,1,0
"1419_1",0,0,1,1,1,1,1
"1420_1",1,1,1,1,1,1,1
"1421_1",1,1,1,1,1,1,1
"1422_0",1,0,0,0,0,0,0
"1423_1",1,1,1,1,1,1,1
"1424_1",1,1,1,1,1,1,1
"1425_1",1,1,1,1,1,1,1
"1426_1",1,1,1,1,1,1,1
"1427_1",0,0,1,0,0,1,0
"1428_1",0,0,1,0,0,1,1
"1429_1",0,0,1,1,0,1,1
"1430_1",0,0,0,0,0,1,1
"1431_1",0,1,0,1,1,1,1
"1432_0",0,0,1,0,0,0,0
"1433_1",1,1,1,1,1,1,1
"1434_1",1,1,1,1,1,1,1
"1434_2",1,1,1,1,1,1,1
"1435_1",1,1,1,1,1,1,1
"1436_1",1,1,1,1,1,1,1
"1436_2",1,1,1,1,1,1,1
"1437_1",1,1,1,1,1,1,1
"1438_1",1,1,1,1,1,1,1
"1439_1",1,1,1,1,1,1,1
"1440_1",1,1,1,1,1,1,1
"1441_1",1,1,1,1,1,1,1
"1442_1",1,1,1,1,1,1,1
"1443_1",1,1,1,1,1,1,1
"1444_1",1,1,1,1,1,1,1
"1445_1",1,0,1,1,1,1,1
"1446_1",1,1,1,1,1,1,1
"1447_1",1,1,1,1,1,1,1
"1447_2",1,1,1,1,1,1,1
"1448_1",1,1,1,1,1,1,1
"1449_1",1,1,1,1,1,1,1
"1450_1",0,0,1,1,1,1,1
"1451_1",1,1,1,1,1,1,1
"1452_1",1,1,1,1,1,1,1
"1452_2",1,1,1,1,1,1,1
"1453_1",0,1,1,0,1,0,1
"1454_1",0,1,0,0,1,0,0
"1455_1",1,1,1,1,1,0,0
"1456_1",1,1,1,1,1,1,1
"1456_2",1,1,1,1,1,1,1
"1457_1",0,1,1,1,1,1,1
"1458_1",0,0,1,1,1,0,1
"1458_2",0,1,1,1,1,1,1
"1458_3",0,1,0,1,1,1,1
"1459_1",1,1,1,1,1,1,1
"1460_1",0,0,1,1,1,1,1
"1461_1",0,0,0,0,0,1,1
"1462_1",1,1,1,1,1,1,1
"1463_1",1,1,1,1,1,1,1
"1464_1",1,1,1,1,1,1,1
"1464_2",0,1,1,1,1,1,1
"1465_1",1,1,1,1,1,1,1
"1466_1",1,1,1,1,1,1,1
"1467_1",1,1,1,1,1,1,1
"1468_1",1,1,1,1,1,1,1
"1469_1",1,1,1,1,1,1,1
"1470_1",1,1,1,1,1,1,1
"1471_1",1,1,1,1,1,1,1
"1472_1",0,1,1,1,1,1,1
"1473_1",1,1,1,1,1,1,1
"1474_1",1,1,1,1,1,1,1
"1475_1",0,0,0,1,1,0,1
"1476_1",1,1,1,1,1,1,1
"1477_1",1,1,1,1,1,1,1
"1478_1",1,1,1,1,1,1,1
"1479_1",1,1,1,1,1,1,1
"1480_1",1,1,1,1,1,1,1
"1481_1",1,1,1,1,1,1,1
"1482_1",1,1,1,1,1,1,1
"1483_1",1,1,1,1,1,1,1
"1484_1",1,1,1,1,1,1,1
"1485_1",1,1,1,1,1,1,1
"1485_2",1,1,1,1,1,1,1
"1486_1",0,1,1,1,1,1,1
"1487_1",0,0,0,0,0,1,1
"1488_1",1,1,1,1,1,1,1
"1488_2",1,1,1,1,1,1,1
"1489_1",1,1,1,1,1,1,1
"1490_1",1,1,1,1,1,1,1
"1491_1",1,1,1,1,1,1,1
"1492_1",1,1,1,1,1,1,1
"1493_1",1,1,1,1,1,1,1
"1494_1",1,1,1,1,1,1,1
"1495_1",1,1,1,1,1,1,1
"1496_1",0,0,0,0,0,1,1
"1497_1",0,1,1,1,1,1,0
"1498_1",1,1,1,1,1,1,1
"1499_1",0,0,0,0,1,1,1
"1500_1",1,1,1,1,1,1,1
"1501_1",1,1,1,1,1,1,1
"1502_1",1,1,1,1,1,1,1
"1503_1",1,1,0,0,0,0,1
"1504_1",1,1,1,1,1,1,1
"1505_1",1,0,1,1,1,1,1
"1506_1",1,1,1,1,1,1,1
"1507_1",1,1,1,1,1,1,1
"1508_1",1,1,1,0,1,1,1
"1509_1",1,1,1,1,1,1,1
"1510_0",0,0,0,0,0,0,1
"1511_0",0,0,0,0,0,0,1
"1512_1",0,1,1,1,1,1,1
"1513_1",0,1,1,1,1,1,1
"1514_1",1,1,1,1,1,1,1
"1514_2",1,1,1,1,1,1,1
"1515_1",1,1,1,1,1,1,1
"1516_1",1,1,1,1,1,1,1
"1517_1",1,0,0,1,0,0,1
"1517_2",1,1,1,1,1,1,1
"1518_1",1,1,1,1,1,1,1
"1519_1",1,1,1,1,1,1,1
"1520_1",0,1,1,1,1,1,1
"1521_1",1,1,1,1,1,1,1
"1522_1",1,1,1,1,1,1,1
"1523_1",1,1,1,1,1,1,1
"1524_1",1,1,1,1,1,1,1
"1525_1",0,1,0,0,1,1,1
"1526_1",0,1,1,1,1,0,0
"1527_1",1,1,1,1,1,1,1
"1528_1",0,1,0,1,1,1,1
"1529_1",1,1,1,1,1,1,1
"1530_1",0,1,0,1,1,1,1
"1531_1",1,1,1,1,1,1,1
"1532_1",1,1,1,1,1,1,1
"1533_1",1,1,1,1,1,1,1
"1534_1",1,1,1,1,1,1,1
"1535_1",1,1,1,1,1,1,1
"1536_1",1,1,1,1,1,1,1
"1537_1",1,1,1,1,1,1,1
"1538_1",1,1,1,1,1,1,1
"1539_1",1,1,1,1,1,1,1
"1540_1",0,1,1,1,1,1,1
"1541_1",1,1,1,1,1,1,1
"1542_1",1,1,1,1,1,1,1
"1543_1",1,0,1,1,1,1,1
"1544_0",0,0,0,0,0,0,1
"1545_1",1,1,1,1,1,1,1
"1546_0",0,1,0,0,0,0,0
"1547_1",1,1,1,1,1,1,1
"1548_1",1,0,1,1,1,1,1
"1549_1",1,1,1,1,1,1,1
"1550_1",1,1,1,1,1,1,1
"1551_1",0,1,1,1,1,1,1
"1552_1",1,1,1,1,1,1,1
"1553_1",1,1,1,1,1,1,1
"1554_1",1,0,0,0,0,1,0
"1555_1",0,0,0,0,1,0,1
"1556_1",1,1,1,1,1,1,1
"1557_1",0,1,1,0,0,1,1
"1558_1",1,1,0,1,0,1,1
"1559_1",0,0,0,0,1,1,1
"1560_1",1,1,0,0,0,1,1
"1561_1",0,0,0,1,1,1,1
"1562_1",0,1,0,1,1,1,1
"1563_1",0,0,1,0,1,1,1
"1564_1",0,0,1,1,1,1,1
"1565_1",0,0,1,1,1,1,1
"1566_0",1,0,0,0,0,0,0
"1567_1",1,1,1,1,1,1,1
"1568_1",0,0,0,1,1,1,1
"1569_1",1,1,1,1,1,1,1
"1570_1",1,1,1,1,1,1,1
"1571_1",1,1,1,1,1,1,1
"1572_1",1,1,1,1,1,1,1
"1573_1",1,1,1,1,1,1,1
"1574_1",1,1,1,1,1,1,1
"1575_1",1,1,1,1,1,1,1
"1576_1",1,1,1,1,1,1,1
"1577_1",1,1,0,0,0,0,0
"1578_0",1,0,0,0,0,0,0
"1579_1",1,1,1,1,1,1,1
"1580_1",0,0,0,0,0,1,1
"1581_1",0,1,0,0,1,1,1
"1582_1",0,1,1,1,1,1,1
"1583_0",0,0,0,0,0,0,1
"1584_1",1,1,1,1,1,1,1
"1585_1",0,1,1,1,1,0,1
"1586_1",0,1,0,1,0,0,1
"1587_1",1,1,1,1,1,1,1
"1588_1",1,1,1,1,1,1,1
"1589_1",1,1,1,1,1,1,1
"1590_1",1,0,0,1,0,0,0
"1591_0",1,0,0,0,0,0,0
"1592_1",0,1,0,1,0,0,0
"1592_2",1,0,1,1,1,1,1
"1593_1",1,1,1,1,1,1,1
"1594_1",1,1,1,1,1,1,1
"1595_1",1,1,1,1,1,1,1
"1596_1",1,1,1,1,1,1,1
"1597_0",1,0,0,0,0,0,0
"1598_1",0,0,0,0,0,1,1
"1599_1",1,1,1,1,1,1,1
"1600_1",0,0,1,1,1,1,0
"1601_1",1,1,1,1,1,1,1
"1602_1",0,1,1,0,1,0,0
"1603_1",0,0,0,1,1,0,0
"1604_1",0,1,1,1,1,1,1
"1605_1",1,1,1,1,1,1,1
"1606_1",1,1,1,1,1,1,1
"1607_1",1,1,1,1,1,1,1
"1608_1",0,1,1,1,1,1,1
"1609_1",1,1,1,1,1,1,1
"1610_1",0,0,0,1,0,0,1
"1611_1",0,1,1,1,1,1,1
"1612_1",1,1,1,1,1,1,1
"1613_1",1,1,0,1,1,1,1
"1614_1",0,0,1,1,0,0,0
"1615_1",0,1,1,1,1,1,1
"1616_1",1,1,1,1,1,1,1
"1617_0",0,0,0,0,0,1,0
"1618_1",1,1,1,1,1,1,1
"1619_1",1,1,1,1,1,1,1
"1620_1",0,1,1,1,1,1,1
"1621_1",0,0,0,0,1,1,1
"1622_1",1,1,1,1,1,1,1
"1623_1",0,0,0,1,1,0,0
"1624_1",1,1,1,1,1,1,1
"1625_1",1,1,1,1,1,1,1
"1626_1",1,1,1,1,1,1,1
"1627_1",1,1,1,1,1,1,1
"1628_1",1,1,1,1,1,1,1
"1629_1",1,1,1,1,1,1,1
"1629_2",1,1,1,1,1,1,1
"1629_3",1,1,1,1,1,1,1
"1630_1",0,1,1,1,1,1,1
"1631_1",1,1,1,1,1,1,1
"1632_1",1,1,1,1,1,1,1
"1633_1",1,0,0,0,0,0,1
"1634_1",1,0,0,1,1,1,1
"1635_1",1,1,0,0,0,1,1
"1636_1",1,1,1,1,1,1,1
"1637_1",1,1,1,1,1,1,1
"1638_1",1,1,1,1,1,1,1
"1639_1",0,1,0,1,1,1,1
"1640_1",0,0,1,0,1,1,1
"1641_1",1,1,1,1,1,1,1
"1642_1",0,0,1,1,1,1,0
"1643_1",0,0,1,1,1,0,1
"1644_1",1,1,1,1,1,1,1
"1645_1",1,1,1,1,1,1,1
"1646_1",0,1,0,1,0,1,1
"1647_1",1,1,1,1,1,1,1
"1648_1",1,1,1,1,1,1,1
"1649_1",1,1,1,1,1,1,1
"1650_1",0,0,1,1,0,0,1
"1651_1",1,0,0,1,1,1,1
"1652_1",1,1,1,1,1,1,1
"1653_1",1,1,1,1,1,1,1
"1654_1",0,1,0,0,1,1,0
"1655_1",1,1,1,1,1,1,1
"1656_1",1,1,1,1,1,1,1
"1657_1",1,1,1,1,1,1,1
"1658_0",1,0,0,0,0,0,0
"1659_1",1,1,0,0,1,1,0
"1660_1",1,1,1,1,1,1,1
"1661_1",1,1,1,1,1,1,1
"1662_1",0,1,1,1,1,1,1
"1663_1",1,1,1,1,1,1,1
"1664_1",1,1,1,1,1,1,1
"1664_2",1,1,1,1,1,1,1
"1665_1",1,1,1,1,1,1,1
"1666_1",1,1,1,1,1,1,1
"1667_1",0,1,0,0,1,1,1
"1668_1",1,1,1,1,1,1,1
"1669_1",1,1,1,1,1,1,1
"1669_2",1,1,1,1,1,1,1
"1670_1",0,0,0,0,1,1,1
"1671_1",1,1,1,1,1,1,1
"1672_1",0,0,0,1,0,1,1
"1672_2",1,1,1,1,1,1,1
"1673_1",0,0,1,0,1,0,1
"1674_1",0,1,1,0,0,0,1
"1675_1",1,0,1,1,1,1,1
"1676_1",1,1,1,1,1,1,1
"1677_1",1,1,1,1,1,1,1
"1678_1",1,1,1,1,1,1,1
"1679_1",1,1,1,1,1,1,1
"1680_1",0,1,0,0,1,0,1
"1681_1",1,1,1,1,0,1,0
"1682_1",0,0,0,1,0,1,0
"1683_1",1,1,1,1,1,1,1
"1684_1",0,1,1,1,0,0,0
"1685_0",0,0,0,0,1,0,0
"1686_0",0,0,1,0,0,0,0
"1687_1",0,0,1,1,1,1,1
"1688_0",0,0,0,0,0,0,1
"1689_1",1,1,1,0,0,0,0
"1690_1",1,1,1,1,1,1,1
"1690_2",1,1,0,0,0,0,1
"1690_3",0,0,0,1,0,0,0
"1691_1",0,0,0,0,0,1,1
"1692_1",0,0,0,1,0,0,1
"1692_2",0,1,1,1,1,1,1
"1693_1",0,1,1,0,0,1,1
"1694_1",0,1,0,1,0,0,0
"1694_2",0,0,0,0,0,1,1
"1695_1",1,1,1,1,1,1,1
"1695_2",1,1,1,1,1,1,1
"1696_1",1,1,1,1,1,1,1
"1697_1",1,1,1,0,1,0,0
"1698_1",1,1,1,1,1,1,1
"1699_1",1,1,1,1,1,1,1
"1700_1",1,1,1,1,1,1,1
"1701_1",1,1,0,0,0,1,1
"1701_2",1,1,1,1,1,1,1
"1701_3",0,0,0,0,0,1,0
"1702_1",1,1,1,1,1,1,1
"1703_1",0,0,0,0,0,1,1
"1704_1",1,1,1,1,1,1,1
"1704_2",1,1,1,1,1,1,1
"1705_1",0,0,0,1,1,1,1
"1706_1",1,1,1,1,1,1,1
"1707_1",1,1,1,1,1,0,1
"1708_1",1,1,1,1,1,1,1
"1709_0",0,0,0,0,0,0,1
"1710_1",1,0,1,1,1,1,1
"1711_1",1,1,1,1,1,1,1
"1712_1",1,1,1,1,1,1,1
"1713_1",1,1,1,1,1,1,1
