Host	Sample_ID
TS	T1900044767_TS20190233
TS	T1900044768_TS20190234
TS	T1900044770_TS20190236
TS	T1900044771_TS20190237
TS	T1900044772_TS20190238
TS	T1900044773_TS20190239
TS	T1900044774_TS20190240
TS	T1900044775_TS20190241
TS	T1900044776_TS20190242
TS	T1900044777_TS20190243
TS	T1900044779_TS20190245
TS	T1900044781_TS20190247
TS	T1900044782_TS20190248
TS	T1900044783_TS20190249
TS	T1900044785_TS20190251
TS	T1900044786_TS20190252
TS	T1900044787_TS20190253
TS	T1900044788_TS20190254
TS	T1900044789_TS20190255
TS	T1900044790_TS20190256
TS	T1900044791_TS20190257
TS	T1900044792_TS20190258
TS	T1900044793_TS20190259
TS	T1900044794_TS20190260
TS	T1900044795_TS20190261
TS	T1900044796_TS20190262
TS	T1900044797_TS20190263
TS	T1900044798_TS20190264
TS	T1900044799_TS20190265
TS	T1900044800_TS20190266
TS	T1900044801_TS20190267
TS	T1900044802_TS20190268
TS	T1900044803_TS20190269
TS	T1900044804_TS20190270
TS	T1900044805_TS20190271
TS	T1900044806_TS20190272
TS	T1900044807_TS20190273
TS	T1900044808_TS20190274
TS	T1900044809_TS20190275
TS	T1900044810_TS20190276
TS	T1900044811_TS20190277
TS	T1900044812_TS20190278
TS	T1900044813_TS20190279
TS	T1900044814_TS20190280
TS	T1900044815_TS20190281
TS	T1900044816_TS20190282
TS	T1900044817_TS20190283
TS	T1900044818_TS20190284
TS	T1900044819_TS20190285
TS	T1900044820_TS20190286
TS	T1900044821_TS20190287
TS	T1900044822_TS20190288
TS	T1900044823_TS20190289
TS	T1900044824_TS20190290
TS	T1900044825_TS20190291
TS	T1900044826_TS20190292
TS	T1900044827_TS20190293
TS	T1900044828_TS20190294
TS	T1900044829_TS20190295
TS	T1900044830_TS20190296
TS	T1900044831_TS20190297
TS	T1900044832_TS20190298
TS	T1900044833_TS20190299
TS	T1900044834_TS20190300
TS	T1900044835_TS20190301
TS	T1900044836_TS20190302
TS	T1900044837_TS20190303
TS	T1900044838_TS20190304
TS	T1900044839_TS20190305
TS	T1900044840_TS20190306
TS	T1900044841_TS20190307
TS	T1900044842_TS20190308
TS	T1900044843_TS20190309
TS	T1900044844_TS20190310
TS	T1900044845_TS20190311
TS	T1900044846_TS20190312
TS	T1900044847_TS20190313
TS	T1900044848_TS20190314
TS	T1900044849_TS20190315
TS	T1900044851_TS20190317
TS	T1900044852_TS20190318
TS	T1900044853_TS20190319
TS	T1900044854_TS20190320
TS	T1900044855_TS20190321
TS	T1900044856_TS20190322
TS	T1900044857_TS20190323
TS	T1900044858_TS20190324
TS	T1900044859_TS20190325
TS	T1900044860_TS20190326
TS	T1900044861_TS20190327
TS	T1900044862_TS20190328
TS	T1900044863_TS20190329
TS	T1900044864_TS20190330
TS	T1900044865_TS20190331
TS	T1900044866_TS20190332
TS	T1900044867_TS20190333
TS	T1900044869_TS20190335
TS	T1900044870_TS20190336
TS	T1900044872_TS20190338
TS	T1900044873_TS20190339
TS	T1900044874_TS20190340
TS	T1900044877_TS20190343
TS	T1900044879_TS20190345
TS	T1900044880_TS20190346
TS	T1900044897_TS20190363
TS	T1900044908_TS20190374
TS	T1900044910_TS20190376
TS	T1900044912_TS20190378
TS	T1900044913_TS20190379
TS	T1900044914_TS20190380
TS	T1900044915_TS20190381
TS	T1900044916_TS20190382
TS	T1900044917_TS20190383
TS	T1900044918_TS20190384
TS	T1900044920_TS20190386
TS	T1900044921_TS20190387
TS	T1900044923_TS20190389
TS	T1900044924_TS20190390
TS	T1900044925_TS20190391
TS	T1900044926_TS20190392
TS	T1900044927_TS20190393
TS	T1900044928_TS20190394
TS	T1900044929_TS20190395
TS	T1900044930_TS20190396
TS	T1900044931_TS20190397
TS	T1900044932_TS20190398
TS	T1900044933_TS20190399
TS	T1900044934_TS20190400
TS	T1900044935_TS20190401
TS	T1900044936_TS20190402
TS	T1900044937_TS20190403
TS	T1900044938_TS20190404
TS	T1900044939_TS20190405
TS	T1900044940_TS20190406
TS	T1900044941_TS20190407
TS	T1900044942_TS20190408
TS	T1900044944_TS20190410
TS	T1900044945_TS20190411
TS	T1900044946_TS20190412
TS	T2001009361_TS20190215
TS	T2001009363_TS20190217
TS	T2001009364_TS20190218
TS	T2001009365_TS20190219
TS	T2001009367_TS20190221
TS	T1900044749_TS20190415
TS	T1900044755_TS20190421
TS	T1900044780_TS20190246
TS	T1900044672_TS20190138
TS	T1900044778_TS20190244
TS	T1900044677_TS20190143
TS	T1900044719_TS20190185
TS	T1900044676_TS20190142
TS	T2001009362_TS20190216
TS	T1900044726_TS20190192
TS	T1900044751_TS20190417
TS	T1900044748_TS20190414
TS	T1900044769_TS20190235
TS	T1900044692_TS20190158
TS	T2001009366_TS20190220
TS	T1900044688_TS20190154
TS	T1900044750_TS20190416
TS	T1900044752_TS20190418
TS	T1900044850_TS20190316
TS	T1900044671_TS20190137
TS	T1900044731_TS20190197
TS	T2001009368_TS-100
TS	T1900044678_TS20190144
TS	T1900044673_TS20190139
TS	T1900044784_TS20190250
TS	T1900044674_TS20190140
TS	T1900044754_TS20190420
TS	T1900044680_TS20190146
TS	T1900044629_TS20190095
TS	T1900044642_TS20190108
TS	T1900044652_TS20190118
TS	T1900044888_TS20190354
TS	T1900044868_TS20190334
TS	T1900044885_TS20190351
TS	T1900044919_TS20190385
TS	T1900044904_TS20190370
TS	T1900044943_TS20190409
TS	T1900044889_TS20190355
TS	T1900044892_TS20190358
TS	T1900044899_TS20190365
TS	T1900044876_TS20190342
TS	T1900044883_TS20190349
TS	T1900044894_TS20190360
TS	T1900044890_TS20190356
Yak	T1900045329_YK20190018
Yak	T1900045335_YK20190024
Yak	T1900045349_YK20190039
Yak	T1900045358_YK20190048
Yak	T1900045651_YK20190345
Yak	T1900045768_YK20190462
Yak	T1900045549_YK20190243
Yak	T1900045541_YK20190235
Yak	T1900045423_YK20190113
Yak	T1900045421_YK20190111
Yak	T1900045360_YK20190050
Yak	T1900045357_YK20190047
Yak	T1900045630_YK20190324
Yak	T1900045525_YK20190219
Yak	T1900045339_YK20190028
Yak	T1900045341_YK20190031
Yak	T1900045637_YK20190331
Yak	T1900045406_YK20190096
Yak	T1900045348_YK20190038
Yak	T1900045465_YK20190156
Yak	T1900045346_YK20190036
Yak	T1900045500_YK20190194
Yak	T1900045468_YK20190159
Yak	T1900045320_YK20190009
