SGB,Freq,Host,Type
T1900045051_TC20190044_bin.258,0.77254902,Tibetan antelope,Common
T1900045075_TC20190069_bin.278,0.698039216,Tibetan antelope,Common
T1900045083_TC20190077_bin.10,0.682352941,Tibetan antelope,Common
T1900045112_TC20190106_bin.27,0.674509804,Tibetan antelope,Common
T1900045120_TC20190114_bin.334,0.768627451,Tibetan antelope,Common
T1900045122_TC20190116_bin.176,0.992156863,Tibetan antelope,Common
T1900045124_TC20190118_bin.252,0.82745098,Tibetan antelope,Common
T1900045139_TC20190133_bin.71,0.556862745,Tibetan antelope,Common
T1900045161_TC20190155_bin.124,0.976470588,Tibetan antelope,Common
T1900045164_TC20190158_bin.193,0.541176471,Tibetan antelope,Common
T1900045166_TC20190160_bin.245,0.97254902,Tibetan antelope,Common
T1900045170_TC20190164_bin.146,0.501960784,Tibetan antelope,Common
T1900045172_TC20190168_bin.49,0.62745098,Tibetan antelope,Common
T1900045180_TC20190176_bin.131,0.964705882,Tibetan antelope,Common
T1900045180_TC20190176_bin.370,0.980392157,Tibetan antelope,Common
T1900045184_TC20190180_bin.171,0.501960784,Tibetan antelope,Common
T1900045213_TC20190209_bin.211,0.964705882,Tibetan antelope,Common
T1900045223_TC20190219_bin.119,0.901960784,Tibetan antelope,Common
T1900045312_YK20190001_bin.13,0.509803922,Tibetan antelope,Common
T1900045313_YK20190002_bin.294,0.701960784,Tibetan antelope,Common
T1900045314_YK20190003_bin.278,0.564705882,Tibetan antelope,Common
T1900045317_YK20190006_bin.234,0.835294118,Tibetan antelope,Common
T1900045323_YK20190012_bin.140,0.905882353,Tibetan antelope,Common
T1900045324_YK20190013_bin.170,0.976470588,Tibetan antelope,Common
T1900045324_YK20190013_bin.208,0.674509804,Tibetan antelope,Common
T1900045324_YK20190013_bin.250,0.639215686,Tibetan antelope,Common
T1900045330_YK20190019_bin.143,0.88627451,Tibetan antelope,Common
T1900045335_YK20190024_bin.15,0.674509804,Tibetan antelope,Common
T1900045344_YK20190034_bin.38,0.97254902,Tibetan antelope,Common
T1900045344_YK20190034_bin.97,0.564705882,Tibetan antelope,Common
T1900045345_YK20190035_bin.147,0.88627451,Tibetan antelope,Common
T1900045355_YK20190045_bin.135,0.552941176,Tibetan antelope,Common
T1900045359_YK20190049_bin.99,0.996078431,Tibetan antelope,Common
T1900045362_YK20190052_bin.19,0.725490196,Tibetan antelope,Common
T1900045369_YK20190059_bin.153,0.529411765,Tibetan antelope,Common
T1900045382_YK20190072_bin.205,0.6,Tibetan antelope,Common
T1900045407_YK20190097_bin.207,0.588235294,Tibetan antelope,Common
T1900045422_YK20190112_bin.42,0.678431373,Tibetan antelope,Common
T1900045426_YK20190117_bin.110,0.941176471,Tibetan antelope,Common
T1900045429_YK20190120_bin.21,0.956862745,Tibetan antelope,Common
T1900045432_YK20190123_bin.212,0.725490196,Tibetan antelope,Common
T1900045446_YK20190137_bin.94,0.925490196,Tibetan antelope,Common
T1900045451_YK20190142_bin.247,0.701960784,Tibetan antelope,Common
T1900045504_YK20190198_bin.259,0.733333333,Tibetan antelope,Common
T1900045509_YK20190203_bin.225,0.976470588,Tibetan antelope,Common
T1900045509_YK20190203_bin.309,0.898039216,Tibetan antelope,Common
T1900045525_YK20190219_bin.66,0.529411765,Tibetan antelope,Common
T1900045541_YK20190235_bin.336,0.937254902,Tibetan antelope,Common
T1900045543_YK20190237_bin.3,0.917647059,Tibetan antelope,Common
T1900045543_YK20190237_bin.344,0.909803922,Tibetan antelope,Common
T1900045562_YK20190256_bin.204,0.674509804,Tibetan antelope,Common
T1900045567_YK20190261_bin.18,0.525490196,Tibetan antelope,Common
T1900045627_YK20190321_bin.64,0.925490196,Tibetan antelope,Common
T1900045641_YK20190335_bin.13,0.57254902,Tibetan antelope,Common
T1900045643_YK20190337_bin.167,0.784313725,Tibetan antelope,Common
T1900045648_YK20190342_bin.210,0.549019608,Tibetan antelope,Common
T1900045652_YK20190346_bin.154,0.71372549,Tibetan antelope,Common
T1900045652_YK20190346_bin.166,0.654901961,Tibetan antelope,Common
T1900045658_YK20190352_bin.104,0.874509804,Tibetan antelope,Common
T1900045672_YK20190366_bin.136,0.874509804,Tibetan antelope,Common
T1900045698_YK20190392_bin.202,0.541176471,Tibetan antelope,Common
T1900045711_YK20190405_bin.91,0.701960784,Tibetan antelope,Common
T1900045712_YK20190406_bin.303,0.521568627,Tibetan antelope,Common
T1900045716_YK20190410_bin.221,0.968627451,Tibetan antelope,Common
T1900045718_YK20190412_bin.120,0.933333333,Tibetan antelope,Common
