Sample_ID,PCoA1,PCoA2,Host
T1900045043_TC20190036,0.19175069818948673,-0.11629433658565078,Tibetan_Cattle
T1900045044_TC20190037,0.22719810204891122,-0.08780047229652721,Tibetan_Cattle
T1900045045_TC20190038,0.2290272602616964,-0.11253085552498421,Tibetan_Cattle
T1900045046_TC20190039,0.23961821107907977,-0.17140782884235112,Tibetan_Cattle
T1900045048_TC20190041,0.13999264436606906,-0.1605485487635445,Tibetan_Cattle
T1900045049_TC20190042,0.18083167031744185,-0.07828802451271524,Tibetan_Cattle
T1900045050_TC20190043,0.16096165358987097,-0.08176206772667312,Tibetan_Cattle
T1900045051_TC20190044,0.1903986536930876,-0.11649252472261176,Tibetan_Cattle
T1900045053_TC20190046,0.2168346063549918,-0.13866814592663287,Tibetan_Cattle
T1900045054_TC20190047,0.14741260183308108,-0.14287184719407192,Tibetan_Cattle
T1900045055_TC20190048,0.1667398976265778,-0.13536102942052058,Tibetan_Cattle
T1900045056_TC20190049,0.12533645641454186,-0.08113938872174302,Tibetan_Cattle
T1900045058_TC20190051,0.1291254781573693,-0.11079677651740621,Tibetan_Cattle
T1900045060_TC20190053,0.2327587031240047,-0.14759519521627695,Tibetan_Cattle
T1900045061_TC20190054,0.17357915340724203,-0.06757641355552574,Tibetan_Cattle
T1900045063_TC20190056,0.18263491326932615,-0.16011244952190593,Tibetan_Cattle
T1900045064_TC20190058,0.18946342092831667,-0.07854097936272382,Tibetan_Cattle
T1900045065_TC20190059,0.17487756285463069,-0.0902057926645078,Tibetan_Cattle
T1900045066_TC20190060,0.21592605792378217,-0.0996208639903986,Tibetan_Cattle
T1900045067_TC20190061,0.1284651373335785,9.025368720056435e-4,Tibetan_Cattle
T1900045068_TC20190062,0.17103219727454025,-0.10138109684486392,Tibetan_Cattle
T1900045070_TC20190064,0.1367369498566645,-0.16787423971080767,Tibetan_Cattle
T1900045071_TC20190065,0.16071710961123953,-0.0804820980114168,Tibetan_Cattle
T1900045072_TC20190066,0.20801444963637017,-0.1468227058438257,Tibetan_Cattle
T1900045073_TC20190067,0.22073809575192954,-0.14827301119753675,Tibetan_Cattle
T1900045074_TC20190068,0.18562676118617316,-0.09984672160371912,Tibetan_Cattle
