SGB_ID,T1900045231_TH20190001,T1900045232_TH20190002,T1900045235_TH20190005,T1900045236_TH20190006,T1900045237_TH20190007,T1900045238_TH20190008,T1900045239_TH20190009,T1900045240_TH20190010,T1900045241_TH20190011,T1900045242_TH20190012,T1900045243_TH20190013,T1900045244_TH20190014,T1900045245_TH20190015,T1900045246_TH20190016,T1900045247_TH20190017,T1900045248_TH20190018,T1900045249_TH20190019,T1900045250_TH20190020,T1900045252_TH20190022,T1900045253_TH20190023,T1900045254_TH20190024,T1900045255_TH20190025,T1900045256_TH20190026,T1900045257_TH20190027,T1900045258_TH20190028,T1900045259_TH20190029,T1900045260_TH20190030,T1900045261_TH20190031,T1900045262_TH20190032,T1900045263_TH20190033,T1900045264_TH20190034,T1900045265_TH20190035,T1900045266_TH20190036,T1900045267_TH20190037,T1900045268_TH20190038,T1900045269_TH20190039,T1900045270_TH20190040,T1900045271_TH20190041,T1900045272_TH20190042,T1900045273_TH20190043,T1900045274_TH20190044,T1900045275_TH20190045,T1900045276_TH20190046,T1900045277_TH20190047,T1900045278_TH20190048,T1900045279_TH20190049,T1900045280_TH20190050,T1900045281_TH20190051,T1900045282_TH20190052,T1900045283_TH20190053,T1900045284_TH20190054,T1900045285_TH20190055,T1900045286_TH20190056,T1900045287_TH20190057,T1900045288_TH20190058,T1900045289_TH20190059,T1900045290_TH20190060,T1900045291_TH20190061,T1900045292_TH20190062,T1900045293_TH20190063,T1900045294_TH20190064,T1900045295_TH20190065,T1900045296_TH20190066,T1900045297_TH20190067,T1900045298_TH20190068,T1900045299_TH20190069,T1900045300_TH20190070,T1900045301_TH20190071,T1900045302_TH20190072,T1900045303_TH20190073,T1900045304_TH20190074,T1900045305_TH20190075,T1900045306_TH20190076,T1900045307_TH20190077,T1900045308_TH20190078,T1900045309_TH20190079,T1900045310_TH20190080,T1900045311_TH20190081,T2001009369_TH82
T1900044951_TA20190004_bin.182,0.017165768922248623,0,0,0,0,0,0.009131633611396277,0,0,0.008435894073233217,0.009694122966320088,0.05602495646926263,0.03738304789337185,0.010205660300621405,0,0,0,0.010469015016857637,0,0.014985034770397351,0,0,0.07104554741242795,0.011720595096739447,0.021749599712359572,0.025992440157200543,0.09647994095284064,0.052732515510475114,0.045252597404501264,0.27287412427736807,0.031156995477514268,0.023805266815814578,0.015457764447464592,0.03326842793230033,0.10773195556637077,0.012878962320122683,0.03159471067422177,0.019786836101266737,0.07874936179907457,0,0.07897033870330668,0.022114880740429832,0,0,0.15133130256704921,0,0.03224900104101244,0.01915855265169704,0.045616264086695564,0.030394387462585593,0.01338436317192624,0.06419914524291476,0,0.11355252541657139,0.009637007711497092,0.05070057359143627,0.020180258527449837,0.02915121530774779,0.024263960961383998,0,0.049736495345892556,0.016972517648949942,0.04979483137917336,0.06824671523249431,0,0.02274052528960844,0.009082624519317978,0.03557115182300982,0,0.012375643225318419,0,0,0.06341705349696496,0,0.011561306578946483,0.010849774874472942,0.22987588337963516,0.04724057547580124,0.04611225615583678
T1900044951_TA20190004_bin.187,0.00557081788725941,0.009533913772329292,0.012062791306420035,0,0.007606010868613202,0,0,0.012345430737207997,0.03023530678181404,0.03591461307484748,0,0,0.0240428518898568,0.011828074526120202,0,0.020492434041583647,0.026189291100176097,0.0113339029283356,0.0297307390358103,0.01635911259222997,0.029042159496727858,0.01977153454683608,0.03161196431502876,0.022472771199453182,0.015948776912738643,0,0,0,0.023286997151072287,0.06972925189274538,0.0030578231887874907,0.012142137603408935,0.04172004398706173,0.020405283283013203,0.044403704664457165,0.015585722485825817,0.014615112356428626,0.014722875828647179,0.025855609325145978,0.023662469478136567,0,0.02406018971036907,0.039934979364206084,0.033252089297241445,0.03885958921676516,0.016418341869010103,0.025772504201194448,0.0313611184742526,0.012451411157273353,0.01712564323246244,0.016449096591967912,0.063021000804313207,0.03662957512767115,0.051441122486799454,0.04080193633714198,0.010147408300286634,0.04294158565881521,0.015102829141868395,0.022378808755945685,0.009104867669631297,0.007474581495546964,0.004380062576310171,0.01106040433972217,0.04376826130891574,0.007224770781133102,0.004854867168770003,0.00657020039226921,0.011952640925469537,0.008322683817800046,0.026477805621176936,0.009248169325464725,0.010757199034185308,0.036917447873227476,0.011047678894741597,0.022895820133848444,0.008888814726679463,0.0865521788529327,0.017555788292385025,0.03584784026797689
T1900044951_TA20190004_bin.419,0.008507877299592707,0.02482664731866855,0.01530486745730503,0.011750801381820004,0.011670894509263816,0,0.01327601857374663,0.1933027288808118,0.009235699962899852,0.009326353438242825,0.008030919107281875,0.02334767656838631,0.02517804096573727,0.3625877273719765,0.04292062942588894,0.5342611404319718,0.01465030757036902,0.2642716229197387,0.01914885678015322,0.02687721868991548,0.020882872599915295,0.021219158353303614,0.027696229744039767,0,0.024787617786068448,0,0,0,0.013163860262399973,0,0,0.026586058333116638,0.016000373683182335,0.01429130770260835,0,0.025639308225623648,0.023444517923630503,0.024509938560308427,0,0.01594017849306022,0,0.021250971577984664,0.019232645597932207,0.015539571429030433,0,0.020836959727832578,0.01883304077063489,0.020017107902359263,0.030711571440438852,0.020505002495560476,0.021208067019552218,0.010034359845845475,0.01442330814455669,0.01315036643204908,0.014319795888782573,0.019059362526030733,0.012322684710425925,0,0.011423414433357648,0,0,0.007073518935262295,0,0.012223605197625264,0,0.005228500107652954,0.01360491118928432,0,0.011908439414237894,0.07997235509657552,0,0,0.013418798967124857,0.007746457001456129,0.05758126981797688,0.020177641503927306,0.013692168702999314,0,0
T1900044951_TA20190004_bin.444,0.01844035648375311,0.03714159427969153,0.06520722216185357,0.15488224346931653,0.2269774322759175,0,0.11658764244056673,0.03210791762718161,0.33933216441546554,0.029975026782736752,0.11553442770224358,0.01818525643577784,0.1451911911715887,0.14484139370375235,0.045015445443675584,0.10309534658654632,0.04844287639538348,0.08043480793887708,0.024058133334694018,0,0.02417131216045913,0.026988638356153647,0,0.02521735391114911,0,0.04193904810728679,0.047143848370157955,0.03515232298490188,0.014061848236139488,0.01678774797424386,0.038361424333562495,0,0.017004771641081183,0.012926448774666912,0.017693979567609982,0,0,0,0.020273552535513228,0.019366389507236913,0.0309446162823895,0,0.02267237761557682,0.024952979102661896,0.026272665978687076,0.024529451466431082,0,0.027431477565780682,0.027409382533991625,0.033116951169915324,0.02801861984387152,0.055019051225960486,0.06725507192502755,0.04751580752654414,0.04639937034992672,0.010668152593517785,0.06127965333344113,0,0.05022397908925634,0,0.022256032052381428,0.013125497577040334,0.021466684405176326,0.042834315859033315,0,0.019428035642443196,0.01887633565757976,0.027529734659873104,0.027077399188939807,0.012515066301848114,0.024140965151875797,0.021159216759565024,0.0650599562857513,0,0.010101465592857987,0.024446213321990984,0.06337553392381709,0.03775499540719821,0.015934642256093774
T1900044955_TA20190009_bin.268,0.008451076420711528,0.11157184562252483,0.03948401311420969,0.010256952742687276,0.038007298986967274,0,0.008472663864265477,0.020398850002698313,0.01988469456665381,0.07103815621308004,0.006972125775790874,0.032014416475081436,0.15656711032400095,0.03211530966329598,0.02802081485902343,0.0852589370644489,0.03298759256652716,0.023678986045872163,0.008344555358409292,0.06753367483439457,0.007978251123647839,0.009502104309841285,0.07976340432974353,0,0.08144868686785445,0,0,0,0.024823283738706976,0,0,0.07834234098403056,0.01060308071359715,0.03358702450335697,0,0.06552101910781655,0.08533106230859584,0.07909996883458956,0.006500880885637619,0.007817973365469915,0,0.05495604074256589,0.00883279400352556,0.008123062827855038,0,0.01025234898844204,0.07919672904328288,0.008433731007739644,0.0362944396616324,0.03303802560893769,0.030541501136540472,0.09885294766546215,0.06771897944567203,0.10790808505302166,0.07555581892416686,0.06071230690846926,0.06681758563632262,0.08496913169780289,0.05992096949778035,0,0.01100398455615244,0.055423929840989206,0.01679527132435056,0.08565202513246664,0,0.06388033245489366,0.011866861408469424,0.00751694120648102,0.012902890325461639,0.1423762103677641,0.010186751768460975,0.011361216648867484,0.0735883548986444,0.07577324019983599,0.11758749572041166,0.02920014869290026,0.11429972075333089,0.013767120449799546,0
T1900044956_TA20190011_bin.244,0.008024432686439391,0.013757056752843269,0.013012113983347931,0.006327729918698802,0.18864283573587637,0,0,0.009656661966015962,0.0874421763595262,0.09359055660279017,0,0.06314474477667296,0.0630548377833115,0.21461104737191886,0.048813555787669306,0,0.04898545115274768,0,0,0.020326734735068634,0,0,0.013887777448312854,0,0.022217770306062857,0.17170985947735062,0.1636057251469744,0.1306740545045139,0.022498516342856066,0,0.14145628795244752,0.01676822547636387,0,0.019637221684238437,0,0.024037598720688266,0.012351990879934743,0.013665615109936802,0.005544794613107731,0,0.12150860993420591,0.01647166841240499,0,0,0,0,0.012166513973591383,0.004369218459285931,0.23576378606388054,0.20038411194034939,0.26713044436893313,0.007074707294121078,0.23797551287724722,0.010722095739866634,0.2513672784168654,0.008311019097545492,0.27441081496238867,0.016294427114478274,0.3684698545780218,1.5886100211871763,0.0196686892656032,0.010823478270044205,0.012064870443746415,0.010938149997170075,1.399130606157516,0.010893251563193892,0.023632261836403694,0.010155306963558606,0.020125581751223986,0.021513884221324168,0.014919920879563512,0.00838351687824557,0.2076114566213779,0.015259611862981453,0.027717744189055857,0.25481216255723554,0.004347638706814065,0.020259340685769893,0
T1900044956_TA20190011_bin.252,0.012330584485409477,0.027829936014045334,0.02270128469641751,0.018557765273482286,0.02049946699304155,0,0.021894255365734822,0.019643634968097574,0.016028966741636494,0.020160849906457484,0.01573109857108502,0.022978534355159962,0.03647263863625081,0.012712242527505848,0.026473544890275702,0.021320303468787924,0.013128260732164464,0.019350573815890518,0.020313954551991503,0.01717906939549232,0.020611357395500313,0.01784730905036595,0.02296750176815022,0.018644664999220704,0.02221262069924255,0.03416902136760955,0.04334697640986144,0.03479587866478179,0.03337797217709532,0.05110404143213259,0.03216702195815372,0.020047076429585475,0.02725531242345927,0.034303340900091565,0.0354027077968933,0.016696678544159405,0.018688433717779222,0.017499162479000255,0.03672939308523645,0.015210659995197374,0.033318902976627075,0.015650226926085593,0.018969730731406505,0.017586792749253524,0.03856262482027527,0.018428649869120687,0.02265023383848515,0.01675443839630783,0.02972383681232704,0.029393696926170353,0.024221240525033605,0.021572553173066913,0.014179216050414705,0.021532852383450943,0.017572088476900713,0.024979326124132773,0.014718647071664145,0.021308164694834215,0.010484223883822441,0.00873527228270621,0.03192144857058442,0.015072461876140529,0.04327736508179857,0.018861587275038255,0.010281489415588124,0.03245086937380615,0.009983442947660941,0.028324456333476997,0.013568137168424343,0.025359500085274378,0.02435929885846975,0.03160950437907978,0.01528216560753392,0.020524497389089534,0.021211785713914928,0.01889956615683226,0.034082956122238786,0.05236207241560523,0.03711934373538567
T1900044958_TA20190014_bin.134,0.014670072563785604,0.030780204122985978,0.018990704479663473,0.018233023422665442,0.03283206645657746,0,0.022843347865160266,0.02190591062884196,0.027791792697819957,0.011130075966623515,0.015039680158904289,0.05190503385374437,0.02199211322086614,0.026356098173421365,0.010913863311685125,0.03046692352786401,0.011438879481748722,0.03055166665184308,0.04319246264232241,0.034667940958192485,0.05068731435577439,0.03884266153713604,0.04963855992561174,0.06403420141116385,0.03401990037234258,0.08660334562411826,0.10984744414451934,0.061157791080395534,0.032998922613908556,0.3156118399667111,0.07729815215348503,0.040393718159422,0.08203342623084645,0.03618502382252517,0.17524585171527263,0.032683279870620245,0.03852204378950585,0.044800940234118104,0.164424815837359,0.035517509658051595,0.06745693066989908,0.032976333988850415,0.04949540555927619,0.040166897215789324,0.19044848751682733,0.047230344859413284,0.05266650537059926,0.03914859407069577,0.051300941048414185,0.05123184533198325,0.039941354197225866,0.04294976650430489,0.07010002013058207,0.04151583442703015,0.08535544833339374,0.03437259835037813,0.07510054408940131,0.06612771214611046,0.061707409890283095,0.01583490401587947,0.07489881233303597,0.03852496875976296,0.11201704982055705,0.03359855221454065,0.016750130531036227,0.07717778922505414,0.027149369067790655,0.026558298019512233,0.03285574007370883,0.024815783757970514,0.029819586727733407,0.027045867347348332,0.08448038561625737,0.04495380200108944,0.021051993889476647,0.029889231898442035,0.07454904556963692,0.13522852976166433,0.11942489226178891
T1900044962_TA20190024_bin.220,0.007200371297337043,0,0,0.01482315846593686,0,0,0.026448963081588502,0,0,0,0.02348987513124606,0.1841672195508706,0.0270446874719004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005300782837981655,0,0,0,0,0,0,0,0,0.004194306124156335,0,0,0,0,0,0,0,0
T1900044962_TA20190024_bin.310,0.03561835624597244,0.10168691760946982,0.031430300689017816,0.10085160592153194,0.11866694446854452,0.7289979430058657,0.07058710850407401,0.044536802496272926,0.014248504034842426,0.1336710482905133,0.06532044513306526,0.4491096566976466,0.17899481643533657,0.11748165725324594,0.031406117936630756,0.021457955342325058,0.012660693505238683,0.27732501017998995,0.11231258343465311,0.1375919089169761,0.11739684393495815,0.05100114043676353,0.3633763178830269,0.19491689227241604,0.1765812791440438,0.04801423877285843,0.07527763200340246,0.08162833618753249,0.012384426726030953,1.3240739131584838,0.088774954440358,0.16316270261488425,0.18868098372471645,0.019963962921559247,0.3924156409685228,0.11182334811590709,0.23121526646350934,0.25865908336823673,0.4396040403349006,0.08648903684976604,0.11979319354732806,0.289137740067111,0.1777540383901183,0.14876300345620067,0.6018219054627463,0.08075152440471314,0.4515727456452831,0.06990922356781817,0.300398767703426,0.3186548083257577,0.16280073476297813,0.19203815510890382,0.050605367161328484,0.17171412863274313,0.029733732299556285,0,0.02527384730246403,0.04118208651522953,0.02990101888800857,0,0.12289559030470969,0,0.11250925717915956,0.13216108897511689,0,0,0.041692042653382354,0.07594019542734133,0.03251220375853166,0,0,0.049320151166838605,0.06320902096258632,0.024490665983886623,0,0.1608507504637961,0.6888709533393155,0.03459331789224437,0.4099630742620554
