Rank	Taxon	Counts
Order	Acetobacterales	2
Family	Acetobacteraceae	2
Genus	Acetobacter	2
Genus	UMGS1872	8
Family	Erysipelatoclostridiaceae	9
Genus	Prevotellamassilia	9
Genus	CAG-594	1
Genus	Evtepia	4
Genus	UBA5429	2
Genus	43-108	1
Genus	SFTJ01	1
Species	Acinetobacter sp001647535	1
Family	Cellulosilyticaceae	4
Genus	Cellulosilyticum	4
Genus	UBA7597	15
Genus	UBA1248	1
Order	Clostridiales	9
Family	Clostridiaceae	9
Genus	Clostridium	5
Genus	Anaerosporobacter	1
Genus	Duodenibacillus	1
Family	Anaerotignaceae	13
Genus	Anaerotignum	12
Species	RUG420 sp900317985	1
Genus	UBA5884	2
Genus	UBA1409	1
Species	Butyrivibrio fibrisolvens_C	1
Genus	UMGS1976	5
Genus	CAG-776	1
Genus	Clostridium_P	1
Species	Clostridium_P perfringens	1
Genus	CAG-81	18
Genus	Lawsonibacter	6
Species	FJAT-27916 sp002946355	1
Species	Selenomonas_A ruminantium_B	1
Genus	UBA9845	4
Genus	UBA7185	7
Genus	Parabacteroides	2
Genus	Frisingicoccus	2
Genus	Bacillus_AD	3
Genus	CHKCI006	2
Species	RUG191 sp900315945	1
Family	Enterobacteriaceae	2
Genus	Escherichia	1
Species	Escherichia flexneri	1
Order	Flavobacteriales	10
Family	UBA1820	4
Order	Sphingobacteriales	13
Family	Sphingobacteriaceae	13
Genus	Pseudopedobacter	1
Genus	Homoserinimonas	1
Species	Homoserinimonas sp003065485	1
Family	Pseudomonadaceae	3
Genus	Pseudomonas_E	2
Genus	Pedobacter	7
Genus	Sphingobacterium	4
Order	Chitinophagales	1
Family	Chitinophagaceae	1
Genus	Taibaiella_A	1
Order	Sphingomonadales	2
Family	Sphingomonadaceae	2
Genus	Novosphingobium	1
Genus	Arcticibacter	1
Family	Flavobacteriaceae	4
Genus	Flavobacterium	1
Species	Flavobacterium sp003865365	1
Genus	Myroides	3
Order	Rhodobacterales	1
Family	Rhodobacteraceae	1
Genus	Cypionkella	1
Family	Crocinitomicaceae	1
Genus	UBA5422	1
Genus	Mycetocola_A	1
Genus	Comamonas	2
Genus	Sphingopyxis	1
Family	Myxococcaceae	1
Family	Weeksellaceae	1
Genus	Chryseobacterium	1
Species	Fibrobacter sp900142465	1
Genus	UBA1738	2
Genus	UMGS1519	2
Genus	CAG-273	2
Genus	UBA1753	3
Genus	2011-GWC2-44-17	1
Order	DRI-13	1
Family	UBA5745	1
Order	LD1-PB3	1
Family	Lenti-01	1
Genus	UBA6382	3
Genus	CAG-533	1
Genus	QAMX01	5
Family	Cellulomonadaceae	2
Genus	Cellulomonas	2
Genus	Lelliottia	1
Species	Lelliottia sp000016325	1
Order	Propionibacteriales	1
Family	Nocardioidaceae	1
Genus	Nocardioides	1
Genus	UMGS1663	3
Species	UBA1765 sp002314675	1
Genus	Anaerovibrio	2
Species	Succinivibrio sp900316175	1
Species	Carnobacterium_A jeotgali	1
Genus	CAG-793	1
Order	Pedosphaerales	1
Family	UBA1412	1
Genus	UBA1412	1
Genus	Mucinivorans	1
Genus	Firm-16	3
Genus	UBA3871	1
Species	NK4A136 sp002314855	1
Species	Limosilactobacillus equigenerosi	1
Species	AC2028 sp002317155	1
Genus	Coprococcus_A	1
Genus	OF09-33XD	1
Genus	RUG695	4
Genus	Eubacterium_S	1
Species	Bacillus_X psychrosaccharolyticus	1
Genus	UBA6985	1
Genus	RUG369	1
Genus	Phil12	1
Genus	UMGS1449	1
Order	UBA7976	1
Family	UBA1532	1
Genus	UBA1238	1
Phylum	UBA3054	1
Class	UBA3054	1
Order	UBA3054	1
Family	UBA3054	1
Genus	UBA3054	1
Genus	UBA7182	2
Genus	CAG-485	5
Genus	UBA1739	1
Genus	UBA7160	2
Genus	UBA6984	1
Genus	UMGS1071	2
Genus	Emergencia	10
Species	Akkermansia sp002358905	1
Genus	UBA2730	2
Genus	UBA7868	2
Genus	QAMI01	1
Genus	Dorea	5
Genus	UMGS731	13
Genus	Odoribacter	5
Species	Saccharofermentans sp900107185	1
Genus	Kandleria	1
Genus	UBA3738	1
Species	Pseudobutyrivibrio sp000621865	1
Genus	CAG-822	4
Species	RUG420 sp900318715	1
Genus	CAG-307	2
Genus	UBA2856	8
Genus	UMGS1707	3
Genus	SCN-57-10	1
Species	Arthrobacter_B sp002929435	1
Genus	Gabonibacter	1
Species	RUG191 sp900316395	1
Species	Pseudobutyrivibrio ruminis	1
Genus	Ligilactobacillus	1
Species	Ligilactobacillus ruminis	1
Family	Helicobacteraceae	1
Genus	Helicobacter_B	1
