SGB_ID,Event,Genus,Co-phylogeny_rate,Host-swap_rate
SGB_12075,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_4877,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_6846,Non-specific,g__Methanobrevibacter_A,0.615384615,0.384615385
SGB_5224,Non-specific,g__Aphodosoma,0.6,0.4
SGB_7929,Non-specific,g__Onthomorpha,0.603448276,0.396551724
SGB_7266,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_11271,Non-specific,g__HGM04593,0.66,0.34
SGB_8024,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_4692,Non-specific,g__RGIG2000,0.823529412,0.176470588
SGB_7806,Non-specific,g__Onthomorpha,0.603448276,0.396551724
SGB_9932,Non-specific,g__RGIG4576,0.627906977,0.372093023
SGB_7552,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_7752,Non-specific,g__Alloprevotella,0.757575758,0.242424242
SGB_11696,Non-specific,g__HGM04593,0.66,0.34
SGB_13406,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_9576,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_14031,Non-specific,g__Phocaeicola_A,0.578947368,0.421052632
SGB_6684,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_13786,Non-specific,g__HGM04593,0.66,0.34
SGB_14060,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_13113,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_6388,Non-specific,g__HGM04593,0.66,0.34
SGB_4074,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_10280,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_4857,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_9811,Non-specific,g__HGM04593,0.66,0.34
SGB_12798,Non-specific,g__Caccoplasma,0.894736842,0.105263158
SGB_9475,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_2898,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_12940,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_8528,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_11740,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_4786,Non-specific,g__Onthomorpha,0.603448276,0.396551724
SGB_3193,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_5081,Non-specific,g__Alloprevotella,0.757575758,0.242424242
SGB_6447,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_3327,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_8959,Non-specific,g__Onthomorpha,0.603448276,0.396551724
SGB_11000,Non-specific,g__RGIG4576,0.627906977,0.372093023
SGB_13109,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_6964,Non-specific,g__Bulleidia,0.733333333,0.266666667
SGB_10496,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_10940,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_13327,Non-specific,g__Phocaeicola_A,0.578947368,0.421052632
SGB_9033,Non-specific,g__Alloprevotella,0.757575758,0.242424242
SGB_11331,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_13060,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_8138,Non-specific,g__SFLA01,0.875,0.125
SGB_4868,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_12326,Non-specific,g__HGM04593,0.66,0.34
SGB_7483,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
