Genus,Event,Co-phylogeny_rate,Host-swap_rate,SGB Name,More,Less,pNpS_ratio,Taxonomy
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_11331,0.007446809,0.989361702,0.080013886,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_11608,0.008547009,0.986568987,0.078921569,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_11711,0.009395973,0.986577181,0.113192818,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015060165
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_11842,0.003676471,0.995098039,0.071067786,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017624955
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_12057,0,0.998425197,0.0674946,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017481925
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_12075,0.008411215,0.98317757,0.082385413,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_12513,0.008706468,0.991293532,0.111928934,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_12693,0.013642565,0.983628922,0.110275096,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_12874,0.003856041,0.993573265,0.105100742,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_12940,0.00407332,0.99185336,0.069355888,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017442365
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_1298,0.011216566,0.980155306,0.060330281,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017463585
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_12996,0.002724796,0.995912807,0.071044878,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015059925
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_13108,0.002695418,0.995956873,0.053650592,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017531305
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_13110,0.014742015,0.97952498,0.096517413,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017532885
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_13113,0.012935323,0.979104478,0.126460185,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_13233,0.005899705,0.994100295,0.095818374,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017465055
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_13406,0.006756757,0.985521236,0.232899706,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017623115
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_13463,0.019157088,0.977011494,0.146944768,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017937765
