MAGs	Host
T1900044829_TS20190295_bin.38	Tibetan_Sheep
T1900044831_TS20190297_bin.54	Tibetan_Sheep
T1900044833_TS20190299_bin.106	Tibetan_Sheep
T1900044834_TS20190300_bin.19	Tibetan_Sheep
T1900044841_TS20190307_bin.221	Tibetan_Sheep
T1900044844_TS20190310_bin.89	Tibetan_Sheep
T1900044846_TS20190312_bin.150	Tibetan_Sheep
T1900044848_TS20190314_bin.261	Tibetan_Sheep
T1900044850_TS20190316_bin.271	Tibetan_Sheep
T1900044851_TS20190317_bin.120	Tibetan_Sheep
T1900044859_TS20190325_bin.118	Tibetan_Sheep
T1900044863_TS20190329_bin.1	Tibetan_Sheep
T1900044865_TS20190331_bin.159	Tibetan_Sheep
T1900044926_TS20190392_bin.232	Tibetan_Sheep
T1900044928_TS20190394_bin.235	Tibetan_Sheep
